sentence1,sentence2,actual_score,log_prob_score
A girl is styling her hair.,A girl is brushing her hair.,2.5,-3.302003860473633
A group of men play soccer on the beach.,A group of boys are playing soccer on the beach.,3.6,-3.6192471981048584
One woman is measuring another woman's ankle.,A woman measures another woman's ankle.,5.0,-4.214742660522461
A man is cutting up a cucumber.,A man is slicing a cucumber.,4.2,-3.563392162322998
A man is playing a harp.,A man is playing a keyboard.,1.5,-3.8130693435668945
A woman is cutting onions.,A woman is cutting tofu.,1.8,-4.037334442138672
A man is riding an electric bicycle.,A man is riding a bicycle.,3.5,-2.5401346683502197
A man is playing the drums.,A man is playing the guitar.,2.2,-3.9595084190368652
A man is playing guitar.,A lady is playing the guitar.,2.2,-3.8711934089660645
A man is playing a guitar.,A man is playing a trumpet.,1.714,-3.6876988410949707
A man is playing a guitar.,A man is playing a trumpet.,1.714,-3.6876988410949707
A man is cutting an onion.,A man cuts an onion.,5.0,-4.21694278717041
A man is cycling.,A man is talking.,0.6,-4.19052267074585
A man is slicing open a fish.,A man is cutting up a fish.,4.4,-3.7027039527893066
A man is slicing a tomato.,A man is slicing a bun.,2.0,-3.559976100921631
A man is playing a guitar.,A man is playing a keyboard.,1.8,-4.237427711486816
A baby panda goes down a slide.,A panda slides down a slide.,4.4,-3.7918214797973633
A man is singing and playing a guitar.,A man is playing a guitar.,3.6,-3.786761999130249
A man attacks a woman.,A man slaps a woman.,3.6,-3.7686591148376465
A man is driving a car.,A man is riding a horse.,1.2,-4.015661239624023
A woman is cutting tofu.,A woman is cutting an onion.,2.4,-3.7255563735961914
The woman is styling her hair.,The woman is slicing herbs.,0.2,-4.456470966339111
Two zebras play in an open field.,Two zebras are playing in a field.,4.2,-3.531034231185913
A man is cutting a potato.,A man is slicing some potato.,4.4,-3.6087756156921387
A man is slicing an onion.,A woman is slicing a pumpkin.,2.25,-3.229252576828003
A  man is dancing.,A man and woman is dancing.,2.0,-3.463813066482544
A man is riding a motorcycle.,A woman is riding a horse.,0.75,-3.750361204147339
A woman is slicing garlics.,A woman is slicing an onion.,2.2,-3.5136358737945557
A man is speaking.,A man is cooking.,0.8,-4.431130409240723
A little boy is singing and playing a guitar.,A man is singing and playing the guitar.,2.2,-3.7772510051727295
A turtle is swimming in water.,A turtle is walking underwater.,3.2,-3.3114352226257324
A young woman is putting stickers all over her face.,A woman is applying stickers to her face.,4.8,-3.817194938659668
A woman is wrapping tofu.,A woman is balling dough.,1.4,-4.284915924072266
A cat is eating some corn.,A cat is eating corn on the cob.,4.25,-3.4177520275115967
A man is eating a food.,A man is eating a piece of bread.,3.4,-3.77475643157959
