sentence1,sentence2,actual_score,log_prob_score
A girl is styling her hair.,A girl is brushing her hair.,2.5,-2.0892393589019775
A group of men play soccer on the beach.,A group of boys are playing soccer on the beach.,3.6,-2.5739212036132812
One woman is measuring another woman's ankle.,A woman measures another woman's ankle.,5.0,-2.745455265045166
A man is cutting up a cucumber.,A man is slicing a cucumber.,4.2,-2.59027361869812
A man is playing a harp.,A man is playing a keyboard.,1.5,-2.1417312622070312
A woman is cutting onions.,A woman is cutting tofu.,1.8,-2.84820556640625
A man is riding an electric bicycle.,A man is riding a bicycle.,3.5,-2.029686450958252
A man is playing the drums.,A man is playing the guitar.,2.2,-2.462348222732544
A man is playing guitar.,A lady is playing the guitar.,2.2,-2.519437789916992
A man is playing a guitar.,A man is playing a trumpet.,1.714,-2.3965911865234375
A man is playing a guitar.,A man is playing a trumpet.,1.714,-2.3965911865234375
A man is cutting an onion.,A man cuts an onion.,5.0,-2.849905490875244
A man is cycling.,A man is talking.,0.6,-2.6336519718170166
A man is slicing open a fish.,A man is cutting up a fish.,4.4,-2.6500792503356934
A man is slicing a tomato.,A man is slicing a bun.,2.0,-2.4804093837738037
A man is playing a guitar.,A man is playing a keyboard.,1.8,-2.8142733573913574
A baby panda goes down a slide.,A panda slides down a slide.,4.4,-2.647562026977539
A man is singing and playing a guitar.,A man is playing a guitar.,3.6,-2.7001664638519287
A man attacks a woman.,A man slaps a woman.,3.6,-2.726074695587158
A man is driving a car.,A man is riding a horse.,1.2,-2.526333808898926
A woman is cutting tofu.,A woman is cutting an onion.,2.4,-2.5825209617614746
The woman is styling her hair.,The woman is slicing herbs.,0.2,-2.541010618209839
Two zebras play in an open field.,Two zebras are playing in a field.,4.2,-2.585496187210083
A man is cutting a potato.,A man is slicing some potato.,4.4,-2.6873226165771484
A man is slicing an onion.,A woman is slicing a pumpkin.,2.25,-2.1930184364318848
A  man is dancing.,A man and woman is dancing.,2.0,-2.5482659339904785
A man is riding a motorcycle.,A woman is riding a horse.,0.75,-2.2734830379486084
A woman is slicing garlics.,A woman is slicing an onion.,2.2,-2.491610288619995
A man is speaking.,A man is cooking.,0.8,-2.69136118888855
A little boy is singing and playing a guitar.,A man is singing and playing the guitar.,2.2,-2.5248680114746094
A turtle is swimming in water.,A turtle is walking underwater.,3.2,-2.559075117111206
A young woman is putting stickers all over her face.,A woman is applying stickers to her face.,4.8,-2.862781524658203
A woman is wrapping tofu.,A woman is balling dough.,1.4,-2.782440662384033
A cat is eating some corn.,A cat is eating corn on the cob.,4.25,-2.3644931316375732
A man is eating a food.,A man is eating a piece of bread.,3.4,-2.5747952461242676
A man is playing a guitar.,A man is eating pasta.,0.533,-2.592442750930786
A man is kicking pots of water.,A man is picking flowers.,0.4,-2.639108180999756
A man is cutting a pipe with scissors.,A man is cutting carpet with a knife.,1.2,-2.4819798469543457
A woman is dancing in the rain.,A woman dances in the rain out side.,5.0,-2.7167601585388184
A woman is taking a bath.,A woman is riding a horse.,0.538,-2.709268093109131
A man mixes vegetables in a pot.,A person is stirring vegetables in a pot.,3.75,-2.337524175643921
A woman is talking on a cell phone.,A man and woman are talking on the phone.,3.0,-2.5161726474761963
A man is playing a guitar.,A man is singing while playing the guitar.,3.6,-2.681978940963745
A man is playing a guitar.,A man is driving a car.,0.5,-2.1585497856140137
A man is cutting apple by his hand.,A man is cutting carpet with a knife.,1.5,-2.0942416191101074
A man is opening a door.,A man is cutting an onion.,0.8,-2.7374720573425293
A man is slicing a tomato.,A man is riding a horse.,0.8,-2.7466249465942383
A man is cutting paper with a sword.,A woman is cutting a tomato.,0.6,-2.603116512298584
A boy studies a calendar.,A boy is looking at a calendar.,4.4,-2.641633987426758
The ballerina is dancing.,A man is dancing.,1.75,-2.430973768234253
A woman is dancing.,A woman is playing violin.,0.4,-2.478421688079834
A woman is slicing some tomatoes.,A woman is chopping a potato.,1.4,-2.7254276275634766
A woman is water skiing.,A woman is slicing fish.,0.4,-2.6173102855682373
A man is playing a flute.,A man is riding a scooter.,0.8,-2.6940743923187256
A man is playing the piano.,A man played the guitar.,2.0,-2.538013458251953
A woman is picking a can.,A man is playing a guitar.,0.133,-2.4770569801330566
A man puts three pieces of meat into a pan.,A man is putting meat in a pan.,4.0,-2.5437355041503906
