prompt,correct,log_prob_correct,incorrect,log_prob_incorrect,correct_prediction
The woman filed a restraining order against the man.What is the cause of this?,The man stalked her.,tensor(-2.0276),The man called her.,tensor(-3.2302),True
I drank from the water fountain.What is the cause of this?,I was thirsty.,tensor(-1.8997),I felt nauseous.,tensor(-2.4042),True
The authorities vowed to protect the identity of the crime victim.What is the effect of this?,They withheld the victim's name from the public.,tensor(-1.8868),The victim struggled to recall details about the crime.,tensor(-2.9463),True
My feet were blistered.What is the cause of this?,I went hiking.,tensor(-2.3885),I went swimming.,tensor(-3.0234),True
I burst into a fit of laughter.What is the effect of this?,My eyes welled up with tears.,tensor(-2.0866),My teeth began to chatter.,tensor(-2.6669),True
The bird couldn't fly.What is the cause of this?,It injured its wing.,tensor(-3.0982),It migrated for the winter.,tensor(-3.3831),True
The boy got a black eye.What is the cause of this?,The bully punched the boy.,tensor(-1.9738),The bully mocked the boy.,tensor(-2.9771),True
The woman received a diploma.What is the cause of this?,She graduated from college.,tensor(-2.6499),She enrolled in college.,tensor(-3.2230),True
The clouds looked dark.What is the effect of this?,I brought my umbrella to work.,tensor(-2.2986),I brought my laptop to work.,tensor(-3.4501),True
The truck crashed into the motorcycle on the bridge.What is the effect of this?,The motorcyclist died.,tensor(-1.5060),The bridge collapsed.,tensor(-2.0026),True
The cowgirl threw her lasso towards the horse.What is the effect of this?,The lasso grabbed onto the horse.,tensor(-1.8616),The horse trotted into the barn.,tensor(-2.2510),True
The police officer pulled over the celebrity.What is the effect of this?,The celebrity offered the officer a bribe.,tensor(-1.7392),The celebrity sued the police officer.,tensor(-1.6778),False
A water pipe in the house burst.What is the cause of this?,The pipe froze.,tensor(-3.0783),The water was unsanitary.,tensor(-3.0213),False
The patient was dehydrated.What is the effect of this?,The nurse gave him an IV.,tensor(-2.9902),The nurse tested his reflexes.,tensor(-3.0601),True
The friends' dinnertime conversation turned to politics.What is the effect of this?,A debate erupted.,tensor(-3.2233),The conversation quieted down.,tensor(-3.6344),True
Our group's conversation gradually lulled to silence.What is the effect of this?,I felt awkward.,tensor(-2.8115),I became enraged.,tensor(-3.6497),True
The cup of tea was scalding hot.What is the effect of this?,I blew on it.,tensor(-2.7162),I poured it out.,tensor(-2.5828),False
The investigators deemed the man's death a suicide.What is the cause of this?,He left a note.,tensor(-2.8680),He had children.,tensor(-4.6282),True
The girl felt dizzy.What is the effect of this?,She lost her balance.,tensor(-2.4811),She did stretches.,tensor(-3.8152),True
The leader received praise.What is the cause of this?,He fought poverty.,tensor(-4.2442),He raised taxes.,tensor(-3.5552),False
The woman hit a midlife crisis.What is the effect of this?,She went sky diving.,tensor(-3.2794),She retired.,tensor(-4.7326),True
A fistfight broke out in the hall of the school.What is the effect of this?,The principal suspended the students involved.,tensor(-2.3386),The principal called off classes for the day.,tensor(-2.4133),True
The cook stirred the ingredients in the bowl.What is the effect of this?,The ingredients blended together.,tensor(-1.5869),The ingredients melted.,tensor(-1.8047),True
The sun emerged from the clouds.What is the effect of this?,The woman took her sweater off.,tensor(-2.9352),The woman glanced at her watch.,tensor(-2.5240),False
The woman betrayed her friend.What is the effect of this?,Her friend cut off contact with her.,tensor(-2.5901),Her friend sent her a greeting card.,tensor(-2.8575),True
I pushed the pendulum.What is the effect of this?,It swung back and forth.,tensor(-1.7207),It slowed to a stop.,tensor(-2.6830),True
The woman exaggerated the details of the story.What is the cause of this?,She wanted attention.,tensor(-3.4310),She felt shy.,tensor(-3.4643),True
I put shoes on.What is the cause of this?,The floor contained broken glass.,tensor(-4.9214),The paint on the walls was wet.,tensor(-3.6020),False
The toddler became cranky.What is the effect of this?,Her mother put her down for a nap.,tensor(-1.9616),Her mother fixed her hair into pigtails.,tensor(-3.0164),True
We ordered a pizza.What is the effect of this?,The pizza was delivered.,tensor(-1.7567),The pizza got cold.,tensor(-2.4585),True
The man had lipstick on his cheek.What is the cause of this?,The woman kissed him.,tensor(-2.3776),The woman made him blush.,tensor(-3.0699),True
The girl came across an unfamiliar word in her textbook.What is the effect of this?,She looked the term up in the dictionary.,tensor(-2.1521),She chucked the textbook across the room.,tensor(-2.2819),True
My stomach growled.What is the cause of this?,I forgot to eat breakfast.,tensor(-2.1396),I was full from breakfast.,tensor(-2.8297),True
The man's watch was broken.What is the effect of this?,He asked a stranger for the time.,tensor(-2.5270),He waited at the bus stop.,tensor(-2.6423),True
The student flaunted his test grade to his classmates.What is the cause of this?,He received a perfect score.,tensor(-2.6467),He feigned interest in the class.,tensor(-3.5623),True
The gardener pulled the weeds.What is the effect of this?,The weeds came out of the soil.,tensor(-1.6831),The weeds produced seeds.,tensor(-2.5023),True
The chef pressed down on the dough.What is the effect of this?,The dough flattened.,tensor(-1.3018),The dough crumbled.,tensor(-2.2827),True
The man grieved.What is the cause of this?,His mother passed away.,tensor(-2.5710),His wife criticized him.,tensor(-2.7800),True
The teacher took roll.What is the effect of this?,She identified the students that were absent.,tensor(-3.0140),She gave her students a pop quiz.,tensor(-2.4233),False
I rubbed sandpaper on the wood.What is the effect of this?,The wood became smooth.,tensor(-2.4289),The wood became sticky.,tensor(-2.9438),True
The clay hardened.What is the cause of this?,The potter put the clay in the oven.,tensor(-1.8095),The potter rolled the clay into a ball.,tensor(-2.1067),True
The girl made a wish.What is the cause of this?,She saw a shooting star.,tensor(-2.4222),She saw a black cat.,tensor(-3.1460),True
The woman awakened.What is the cause of this?,Her husband was snoring.,tensor(-2.7925),She took sleeping pills.,tensor(-2.7043),False
The driver rotated the steering wheel.What is the effect of this?,The car turned.,tensor(-2.7144),The car halted.,tensor(-4.1082),True
The girl desired her parent's approval.What is the effect of this?,She obeyed her parent's rules.,tensor(-1.9757),She ran away from home.,tensor(-2.4899),True
The homeowners disliked their nosy neighbors.What is the effect of this?,They built a fence around their property.,tensor(-1.5856),They hosted a barbeque in their backyard.,tensor(-2.4759),True
The man dropped food on the floor.What is the effect of this?,His dog ran over to eat the food.,tensor(-2.1282),His dog jumped up on him.,tensor(-2.4080),True
Marine life diminished.What is the cause of this?,Oil spilled into the ocean.,tensor(-2.1807),Boats sailed through the ocean.,tensor(-3.7180),True
My daughter suffered an allergy attack.What is the effect of this?,I took her to the emergency room.,tensor(-1.7994),I encouraged her to take deep breaths.,tensor(-2.8310),True
The chandelier shattered on the floor.What is the cause of this?,The chandelier dropped from the ceiling.,tensor(-1.3579),The chandelier's lights flickered on and off.,tensor(-1.6028),True
The magnet attracted the paperclip.What is the effect of this?,The paperclip stuck to the magnet.,tensor(-1.1089),The paperclip dropped from the magnet.,tensor(-1.9882),True
The smoke alarm went off.What is the cause of this?,I burnt my dinner.,tensor(-3.3871),I lit a candle.,tensor(-2.5920),False
