,premise,hypothesis,gold_label_log,gold_label_prag,spec_relation,item_type,trigger,lexemes,prompt,entailment_prob,neutral_prob,contradiction_prob,prediction,entailment_prob_chat,neutral_prob_chat,contradiction_prob_chat,prediction_chat
0,Regina exited all cafes.,Regina exited no cafes.,2,2,opposite,control,quantifier,some - all,Regina exited all cafes. Regina exited no cafes.,tensor(-9.6436),tensor(-8.8143),tensor(-8.7558),2,tensor(-8.4251),tensor(-8.4011),tensor(-7.0331),2
1,All students had complained.,Not all students had complained.,2,2,negation,control,quantifier,some - all,All students had complained. Not all students had complained.,tensor(-10.6129),tensor(-9.4111),tensor(-9.4068),2,tensor(-9.7869),tensor(-8.7979),tensor(-8.0272),2
2,Some actresses could chuckle.,No actresses could chuckle.,2,2,negation,control,quantifier,some - all,Some actresses could chuckle. No actresses could chuckle.,tensor(-11.6424),tensor(-10.0465),tensor(-10.3382),1,tensor(-11.2533),tensor(-9.4489),tensor(-9.3689),2
3,Not all drivers would research the governments.,All drivers would research the governments.,2,2,negation,control,quantifier,some - all,Not all drivers would research the governments. All drivers would research the governments.,tensor(-10.4442),tensor(-9.0641),tensor(-10.0525),1,tensor(-9.6693),tensor(-7.8362),tensor(-8.5238),1
4,Not all gloves should loosen.,No gloves should loosen.,1,2,negated implicature_N,target,quantifier,some - all,Not all gloves should loosen. No gloves should loosen.,tensor(-11.9360),tensor(-10.6545),tensor(-10.9312),1,tensor(-10.9032),tensor(-9.2339),tensor(-10.1117),1
5,Not all women are needing the library to conspire.,All women are needing the library to conspire.,2,2,negation,control,quantifier,some - all,Not all women are needing the library to conspire. All women are needing the library to conspire.,tensor(-11.1535),tensor(-9.7903),tensor(-9.7777),2,tensor(-11.3319),tensor(-9.7175),tensor(-9.7923),1
6,No guys have considered Cheryl to blink.,Not all guys have considered Cheryl to blink.,0,2,reverse negated implicature_N,target,quantifier,some - all,No guys have considered Cheryl to blink. Not all guys have considered Cheryl to blink.,tensor(-10.5019),tensor(-9.1259),tensor(-9.3994),1,tensor(-9.8633),tensor(-8.7964),tensor(-9.7627),1
7,A lot of guys hadn't hired all teachers.,A lot of guys had hired some teachers.,1,0,implicature_NtoP,target,quantifier,some - all,A lot of guys hadn't hired all teachers. A lot of guys had hired some teachers.,tensor(-11.8887),tensor(-9.7920),tensor(-10.5698),1,tensor(-11.3139),tensor(-9.5787),tensor(-10.0850),1
8,All legislatures were begging Rachel to yell.,Some legislatures were begging Rachel to yell.,0,2,reverse negated implicature_P,target,quantifier,some - all,All legislatures were begging Rachel to yell. Some legislatures were begging Rachel to yell.,tensor(-10.8000),tensor(-9.1892),tensor(-9.6366),1,tensor(-10.8911),tensor(-8.7384),tensor(-10.0363),1
9,Not all guests would wake up.,Some guests would wake up.,1,0,implicature_NtoP,target,quantifier,some - all,Not all guests would wake up. Some guests would wake up.,tensor(-11.0742),tensor(-9.4543),tensor(-9.8072),1,tensor(-10.5625),tensor(-9.1717),tensor(-8.8823),2
10,Some waiters remembered no students.,Some waiters remembered all students.,2,2,opposite,control,quantifier,some - all,Some waiters remembered no students. Some waiters remembered all students.,tensor(-10.8222),tensor(-9.4512),tensor(-10.0279),1,tensor(-10.4074),tensor(-9.2776),tensor(-8.9539),2
11,Some actors will predict many blouses to soak.,No actors will predict many blouses to soak.,2,2,negation,control,quantifier,some - all,Some actors will predict many blouses to soak. No actors will predict many blouses to soak.,tensor(-9.5394),tensor(-8.0876),tensor(-8.7937),1,tensor(-9.6696),tensor(-8.0589),tensor(-9.1719),1
12,All waiters performed.,Some waiters performed.,0,2,reverse negated implicature_P,target,quantifier,some - all,All waiters performed. Some waiters performed.,tensor(-10.7735),tensor(-8.8627),tensor(-9.3484),1,tensor(-10.0257),tensor(-8.1164),tensor(-8.8906),1
13,All actresses could chuckle.,Not all actresses could chuckle.,2,2,negation,control,quantifier,some - all,All actresses could chuckle. Not all actresses could chuckle.,tensor(-11.1721),tensor(-10.1670),tensor(-10.3101),1,tensor(-10.1700),tensor(-9.7828),tensor(-9.1456),2
14,No doctors hid.,Some doctors hid.,2,2,negation,control,quantifier,some - all,No doctors hid. Some doctors hid.,tensor(-11.4772),tensor(-9.5548),tensor(-10.2105),1,tensor(-11.6281),tensor(-9.3951),tensor(-10.0745),1
15,Andrew could approach all waitresses.,Andrew couldn't approach all waitresses.,2,2,negation,control,quantifier,some - all,Andrew could approach all waitresses. Andrew couldn't approach all waitresses.,tensor(-9.6467),tensor(-9.3845),tensor(-9.2342),2,tensor(-9.9231),tensor(-9.5998),tensor(-9.6666),1
16,This spotlight was distracting no banks.,This spotlight was distracting some banks.,2,2,negation,control,quantifier,some - all,This spotlight was distracting no banks. This spotlight was distracting some banks.,tensor(-11.0509),tensor(-8.8721),tensor(-10.1721),1,tensor(-10.5289),tensor(-8.0966),tensor(-9.3218),1
17,No rabbits will leave.,Some rabbits will leave.,2,2,negation,control,quantifier,some - all,No rabbits will leave. Some rabbits will leave.,tensor(-10.6942),tensor(-9.2402),tensor(-9.8489),1,tensor(-10.3846),tensor(-8.4362),tensor(-8.5252),1
18,Andrew could approach some waitresses.,Andrew could approach all waitresses.,1,2,negated implicature_P,target,quantifier,some - all,Andrew could approach some waitresses. Andrew could approach all waitresses.,tensor(-11.1284),tensor(-10.0219),tensor(-10.5564),1,tensor(-10.7231),tensor(-9.4425),tensor(-10.1851),1
19,Regina exited some cafes.,Regina didn't exit all cafes.,1,0,implicature_PtoN,target,quantifier,some - all,Regina exited some cafes. Regina didn't exit all cafes.,tensor(-9.3920),tensor(-9.5640),tensor(-9.3730),2,tensor(-8.4773),tensor(-9.0049),tensor(-7.7748),2
20,All coats would loosen.,Not all coats would loosen.,2,2,negation,control,quantifier,some - all,All coats would loosen. Not all coats would loosen.,tensor(-10.1922),tensor(-8.8908),tensor(-9.2492),1,tensor(-9.5384),tensor(-8.1218),tensor(-8.7408),1
21,Stephanie might escape from some guests.,Stephanie might escape from all guests.,1,2,negated implicature_P,target,quantifier,some - all,Stephanie might escape from some guests. Stephanie might escape from all guests.,tensor(-10.2785),tensor(-8.9721),tensor(-9.5388),1,tensor(-10.1633),tensor(-8.6506),tensor(-9.5033),1
22,No actresses could chuckle.,Not all actresses could chuckle.,0,2,reverse negated implicature_N,target,quantifier,some - all,No actresses could chuckle. Not all actresses could chuckle.,tensor(-11.6243),tensor(-10.2260),tensor(-10.2329),1,tensor(-10.6110),tensor(-9.7933),tensor(-9.4779),2
23,Most actors wear all glasses.,Most actors wear some glasses.,0,2,reverse negated implicature_P,target,quantifier,some - all,Most actors wear all glasses. Most actors wear some glasses.,tensor(-11.3959),tensor(-9.7307),tensor(-10.2593),1,tensor(-9.9812),tensor(-9.1365),tensor(-9.2838),1
24,Some girls are saluting.,No girls are saluting.,2,2,negation,control,quantifier,some - all,Some girls are saluting. No girls are saluting.,tensor(-11.1207),tensor(-9.2562),tensor(-9.4629),1,tensor(-11.0771),tensor(-9.3170),tensor(-9.3172),1
25,No jackets had shrunk.,All jackets had shrunk.,2,2,opposite,control,quantifier,some - all,No jackets had shrunk. All jackets had shrunk.,tensor(-11.1354),tensor(-9.3287),tensor(-9.5676),1,tensor(-11.1472),tensor(-9.1857),tensor(-9.4696),1
26,Sheila hasn't returned to all grocery stores.,Sheila has returned to no grocery stores.,1,2,negated implicature_N,target,quantifier,some - all,Sheila hasn't returned to all grocery stores. Sheila has returned to no grocery stores.,tensor(-10.0634),tensor(-8.6221),tensor(-8.6249),1,tensor(-9.5305),tensor(-8.6056),tensor(-7.5237),2
27,This dancer would hire all customers.,This dancer wouldn't hire all customers.,2,2,negation,control,quantifier,some - all,This dancer would hire all customers. This dancer wouldn't hire all customers.,tensor(-10.0929),tensor(-8.7324),tensor(-9.1296),1,tensor(-9.7291),tensor(-7.8460),tensor(-8.5440),1
28,No senators are trying to stun Larry.,All senators are trying to stun Larry.,2,2,opposite,control,quantifier,some - all,No senators are trying to stun Larry. All senators are trying to stun Larry.,tensor(-11.6499),tensor(-9.4908),tensor(-10.1995),1,tensor(-11.3894),tensor(-8.7871),tensor(-9.4249),1
29,Not all companies command universities to chat.,All companies command universities to chat.,2,2,negation,control,quantifier,some - all,Not all companies command universities to chat. All companies command universities to chat.,tensor(-10.5646),tensor(-9.1634),tensor(-9.3942),1,tensor(-9.7332),tensor(-8.1617),tensor(-8.6470),1
30,All cashiers exercise.,Some cashiers exercise.,0,2,reverse negated implicature_P,target,quantifier,some - all,All cashiers exercise. Some cashiers exercise.,tensor(-10.7369),tensor(-9.6245),tensor(-10.4185),1,tensor(-9.4316),tensor(-8.5912),tensor(-9.2926),1
31,All doctors had disagreed.,Not all doctors had disagreed.,2,2,negation,control,quantifier,some - all,All doctors had disagreed. Not all doctors had disagreed.,tensor(-10.2852),tensor(-9.0662),tensor(-9.0763),1,tensor(-10.0085),tensor(-8.9979),tensor(-9.1052),1
