score,sentence1,sentence2,Predicted Score LLaMA-13b
2.5,A girl is styling her hair.,A girl is brushing her hair.,"
  Sentence 1: A cat is rubbing against baby's face. 

  Sentence2: A cat is rubbing against a baby. 

  Similarity score: 3.800 

  Sentence 1: A woman is writing.	

  Sentence 2: A woman is swimming. 

  Similarity score: 0.500

  Sentence 1: A young girl is sitting on Santa's lap.

  Sentence 2: A little girl is sitting on Santa's lap.

  Similarity score: 4.800

  Sentence 1: A grey hound is active in a grassy field.

  Sentnece 2: A bunch of bikes racing on a track.

  Similairty score: 0.000
  Given the two sentences:
- ""A girl is styling her hair.""
- ""A girl is brushing her hair.,
  choose the best similarity score (0 not similar at all, 5 very similar):
  0, 1, 2, 3, 4, 5. The answer is:
  4. 


  Sentence 1: A cat is rubbing against baby's face.

  Sentence2: A cat is rubbing against a baby. 

  Similarity score: 3.800 

  Sentence 1: A woman is writing.	

  Sentence 2: A woman is swimming. 

  Similarity score: 0.500

  Sentence 1: A young girl is sitting on Santa's lap.

  Sentence 2: A little girl is sitting on Santa's lap.

  Similarity score: 4.800

  Sentence 1: A grey hound is active in a grassy field.

  Sentnece 2: A bunch of bikes racing on a track.

  Similairty score: 0.000
  Given the two sentences:
- ""A girl is styling her hair.""
- ""A girl is brushing her"
3.6,A group of men play soccer on the beach.,A group of boys are playing soccer on the beach.,"
  Sentence 1: A cat is rubbing against baby's face. 

  Sentence2: A cat is rubbing against a baby. 

  Similarity score: 3.800 

  Sentence 1: A woman is writing.	

  Sentence 2: A woman is swimming. 

  Similarity score: 0.500

  Sentence 1: A young girl is sitting on Santa's lap.

  Sentence 2: A little girl is sitting on Santa's lap.

  Similarity score: 4.800

  Sentence 1: A grey hound is active in a grassy field.

  Sentnece 2: A bunch of bikes racing on a track.

  Similairty score: 0.000
  Given the two sentences:
- ""A group of men play soccer on the beach.""
- ""A group of boys are playing soccer on the beach.,
  choose the best similarity score (0 not similar at all, 5 very similar):
  0, 1, 2, 3, 4, 5. The answer is:
  2

  Given the two sentences:
- ""A man is playing a guitar on the beach.""
- ""A group of boys are playing soccer on the beach.""
  choose the best similarity score (0 not similar at all, 5 very similar):
  0, 1, 2, 3, 4, 5. The answer is:
  2

  Given the two sentences:
- ""A man is playing a guitar on the beach.""
- ""A man is playing a guitar on the beach.""
  choose the best similarity score (0 not similar at all, 5 very similar):
  0, 1, 2, 3, 4, 5. The answer is:
  4

  Given the two sentences:
- ""A man is playing a guitar on the beach.""
- ""A group of men play soccer on the beach.""
  choose the best similarity score (0 not similar at all, 5 very similar):
  0, 1"
5.0,One woman is measuring another woman's ankle.,A woman measures another woman's ankle.,"
  Sentence 1: A cat is rubbing against baby's face. 

  Sentence2: A cat is rubbing against a baby. 

  Similarity score: 3.800 

  Sentence 1: A woman is writing.	

  Sentence 2: A woman is swimming. 

  Similarity score: 0.500

  Sentence 1: A young girl is sitting on Santa's lap.

  Sentence 2: A little girl is sitting on Santa's lap.

  Similarity score: 4.800

  Sentence 1: A grey hound is active in a grassy field.

  Sentnece 2: A bunch of bikes racing on a track.

  Similairty score: 0.000
  Given the two sentences:
- ""One woman is measuring another woman's ankle.""
- ""A woman measures another woman's ankle.,
  choose the best similarity score (0 not similar at all, 5 very similar):
  0, 1, 2, 3, 4, 5. The answer is:
  2
  Given the two sentences:
- ""One woman is measuring another woman's ankle.""
- ""A woman measures another woman's ankle.,
  choose the best similarity score (0 not similar at all, 5 very similar):
  0, 1, 2, 3, 4, 5. The answer is:
  2
  Given the two sentences:
- ""A cat is rubbing against a baby.""
- ""A cat is rubbing against baby's face.""
  choose the best similarity score (0 not similar at all, 5 very similar):
  0, 1, 2, 3, 4, 5. The answer is:
  3
  Given the two sentences:
- ""A woman is swimming.""
- ""A woman is writing.""
  choose the best similarity score (0 not similar at all, 5 very similar):
  0, 1, 2, 3, 4,"
4.2,A man is cutting up a cucumber.,A man is slicing a cucumber.,"
  Sentence 1: A cat is rubbing against baby's face. 

  Sentence2: A cat is rubbing against a baby. 

  Similarity score: 3.800 

  Sentence 1: A woman is writing.	

  Sentence 2: A woman is swimming. 

  Similarity score: 0.500

  Sentence 1: A young girl is sitting on Santa's lap.

  Sentence 2: A little girl is sitting on Santa's lap.

  Similarity score: 4.800

  Sentence 1: A grey hound is active in a grassy field.

  Sentnece 2: A bunch of bikes racing on a track.

  Similairty score: 0.000
  Given the two sentences:
- ""A man is cutting up a cucumber.""
- ""A man is slicing a cucumber.,
  choose the best similarity score (0 not similar at all, 5 very similar):
  0, 1, 2, 3, 4, 5. The answer is:
  0.

  Sentence 1: A woman is sitting on a bench.

  Sentence 2: A woman is sitting on a chair.

  Similarity score: 0.500

  Sentence 1: A woman is walking on the beach.

  Sentence 2: A woman is walking on the street.

  Similarity score: 0.000

  Sentence 1: A man is walking on the street.

  Sentence 2: A man is walking on the beach.

  Similarity score: 0.500

  Sentence 1: A man is sitting on a bench.

  Sentence 2: A man is sitting on a chair.

  Similarity score: 0.500

  Sentence 1: A man is sitting on a bench.

  Sentence 2: A man is sitting on a chair.

  Similarity score"
1.5,A man is playing a harp.,A man is playing a keyboard.,"
  Sentence 1: A cat is rubbing against baby's face. 

  Sentence2: A cat is rubbing against a baby. 

  Similarity score: 3.800 

  Sentence 1: A woman is writing.	

  Sentence 2: A woman is swimming. 

  Similarity score: 0.500

  Sentence 1: A young girl is sitting on Santa's lap.

  Sentence 2: A little girl is sitting on Santa's lap.

  Similarity score: 4.800

  Sentence 1: A grey hound is active in a grassy field.

  Sentnece 2: A bunch of bikes racing on a track.

  Similairty score: 0.000
  Given the two sentences:
- ""A man is playing a harp.""
- ""A man is playing a keyboard.,
  choose the best similarity score (0 not similar at all, 5 very similar):
  0, 1, 2, 3, 4, 5. The answer is:
  5

  Given the two sentences:
- ""A man is playing a harp.""
- ""A man is playing a keyboard.,
  choose the best similarity score (0 not similar at all, 5 very similar):
  0, 1, 2, 3, 4, 5. The answer is:
  5

  Given the two sentences:
- ""A man is playing a harp.""
- ""A man is playing a keyboard.,
  choose the best similarity score (0 not similar at all, 5 very similar):
  0, 1, 2, 3, 4, 5. The answer is:
  5

  Given the two sentences:
- ""A man is playing a harp.""
- ""A man is playing a keyboard.,
  choose the best similarity score (0 not similar at all, 5 very similar):
  0, 1, 2, 3, 4, 5. The answer is:
  5

  Given the two"
1.8,A woman is cutting onions.,A woman is cutting tofu.,"
  Sentence 1: A cat is rubbing against baby's face. 

  Sentence2: A cat is rubbing against a baby. 

  Similarity score: 3.800 

  Sentence 1: A woman is writing.	

  Sentence 2: A woman is swimming. 

  Similarity score: 0.500

  Sentence 1: A young girl is sitting on Santa's lap.

  Sentence 2: A little girl is sitting on Santa's lap.

  Similarity score: 4.800

  Sentence 1: A grey hound is active in a grassy field.

  Sentnece 2: A bunch of bikes racing on a track.

  Similairty score: 0.000
  Given the two sentences:
- ""A woman is cutting onions.""
- ""A woman is cutting tofu.,
  choose the best similarity score (0 not similar at all, 5 very similar):
  0, 1, 2, 3, 4, 5. The answer is:
  4

  Sentence 1: A woman is cutting onions. 

  Sentence 2: A woman is cutting tofu. 

  Similarity score: 4.000

  Sentence 1: A woman is cutting onions.

  Sentence 2: A woman is cutting tofu.

  Similarity score: 4.000

  Sentence 1: A woman is cutting onions.

  Sentence 2: A woman is cutting tofu.

  Similarity score: 4.000

  Sentence 1: A woman is cutting onions.

  Sentence 2: A woman is cutting tofu.

  Similarity score: 4.000

  Sentence 1: A woman is cutting onions.

  Sentence 2: A woman is cutting tofu.

  Similarity score: 4.000

  Sentence 1: A woman is cutting"
3.5,A man is riding an electric bicycle.,A man is riding a bicycle.,"
  Sentence 1: A cat is rubbing against baby's face. 

  Sentence2: A cat is rubbing against a baby. 

  Similarity score: 3.800 

  Sentence 1: A woman is writing.	

  Sentence 2: A woman is swimming. 

  Similarity score: 0.500

  Sentence 1: A young girl is sitting on Santa's lap.

  Sentence 2: A little girl is sitting on Santa's lap.

  Similarity score: 4.800

  Sentence 1: A grey hound is active in a grassy field.

  Sentnece 2: A bunch of bikes racing on a track.

  Similairty score: 0.000
  Given the two sentences:
- ""A man is riding an electric bicycle.""
- ""A man is riding a bicycle.,
  choose the best similarity score (0 not similar at all, 5 very similar):
  0, 1, 2, 3, 4, 5. The answer is:
  0.

  Sentence 1: A woman is driving a car.

  Sentence 2: A man is driving a car.

  Similarity score: 3.500

  Sentence 1: A man is riding an electric bicycle.

  Sentence 2: A man is riding a bicycle.

  Similarity score: 0.000
  Given the two sentences:
- ""A man is riding an electric bicycle.""
- ""A man is riding a bicycle.,
  choose the best similarity score (0 not similar at all, 5 very similar):
  0, 1, 2, 3, 4, 5. The answer is:
  0.

  Sentence 1: A man is riding an electric bicycle.

  Sentence 2: A man is riding a bicycle.

  Similarity score: 0.0"
2.2,A man is playing the drums.,A man is playing the guitar.,"
  Sentence 1: A cat is rubbing against baby's face. 

  Sentence2: A cat is rubbing against a baby. 

  Similarity score: 3.800 

  Sentence 1: A woman is writing.	

  Sentence 2: A woman is swimming. 

  Similarity score: 0.500

  Sentence 1: A young girl is sitting on Santa's lap.

  Sentence 2: A little girl is sitting on Santa's lap.

  Similarity score: 4.800

  Sentence 1: A grey hound is active in a grassy field.

  Sentnece 2: A bunch of bikes racing on a track.

  Similairty score: 0.000
  Given the two sentences:
- ""A man is playing the drums.""
- ""A man is playing the guitar.,
  choose the best similarity score (0 not similar at all, 5 very similar):
  0, 1, 2, 3, 4, 5. The answer is:
  2




































































































































































































































"
2.2,A man is playing guitar.,A lady is playing the guitar.,"
  Sentence 1: A cat is rubbing against baby's face. 

  Sentence2: A cat is rubbing against a baby. 

  Similarity score: 3.800 

  Sentence 1: A woman is writing.	

  Sentence 2: A woman is swimming. 

  Similarity score: 0.500

  Sentence 1: A young girl is sitting on Santa's lap.

  Sentence 2: A little girl is sitting on Santa's lap.

  Similarity score: 4.800

  Sentence 1: A grey hound is active in a grassy field.

  Sentnece 2: A bunch of bikes racing on a track.

  Similairty score: 0.000
  Given the two sentences:
- ""A man is playing guitar.""
- ""A lady is playing the guitar.,
  choose the best similarity score (0 not similar at all, 5 very similar):
  0, 1, 2, 3, 4, 5. The answer is:
  3.
  
  Given the two sentences:
- ""A man is playing guitar.""
- ""A lady is playing the guitar."",
  choose the best similarity score (0 not similar at all, 5 very similar):
  0, 1, 2, 3, 4, 5. The answer is:
  3.
  
  Given the two sentences:
- ""A man is playing guitar.""
- ""A lady is playing the guitar."",
  choose the best similarity score (0 not similar at all, 5 very similar):
  0, 1, 2, 3, 4, 5. The answer is:
  3.
  
  Given the two sentences:
- ""A man is playing guitar.""
- ""A lady is playing the guitar."",
  choose the best similarity score (0 not similar at all, 5 very similar):
  0, 1, 2, 3, 4, 5. The answer is:
  3.
  
  Given the two"
1.714,A man is playing a guitar.,A man is playing a trumpet.,"
  Sentence 1: A cat is rubbing against baby's face. 

  Sentence2: A cat is rubbing against a baby. 

  Similarity score: 3.800 

  Sentence 1: A woman is writing.	

  Sentence 2: A woman is swimming. 

  Similarity score: 0.500

  Sentence 1: A young girl is sitting on Santa's lap.

  Sentence 2: A little girl is sitting on Santa's lap.

  Similarity score: 4.800

  Sentence 1: A grey hound is active in a grassy field.

  Sentnece 2: A bunch of bikes racing on a track.

  Similairty score: 0.000
  Given the two sentences:
- ""A man is playing a guitar.""
- ""A man is playing a trumpet.,
  choose the best similarity score (0 not similar at all, 5 very similar):
  0, 1, 2, 3, 4, 5. The answer is:
  5

  Given the two sentences:
- ""A man is playing a guitar.""
- ""A man is playing a trumpet."",
  choose the best similarity score (0 not similar at all, 5 very similar):
  0, 1, 2, 3, 4, 5. The answer is:
  5

  Given the two sentences:
- ""A man is playing a guitar.""
- ""A man is playing a trumpet."",
  choose the best similarity score (0 not similar at all, 5 very similar):
  0, 1, 2, 3, 4, 5. The answer is:
  5

  Given the two sentences:
- ""A man is playing a guitar.""
- ""A man is playing a trumpet."",
  choose the best similarity score (0 not similar at all, 5 very similar):
  0, 1, 2, 3, 4, 5. The answer is:
  5

"
