score,sentence1,sentence2,Predicted Score LLaMA-7B,Predicted Score LLaMA-7B-Chat
2.5,A girl is styling her hair.,A girl is brushing her hair.,"
  Sentence 1: A cat is rubbing against baby's face. 

  Sentence2: A cat is rubbing against a baby. 

  Similarity score: 3.800 

  Sentence 1: A woman is writing.	

  Sentence 2: A woman is swimming. 

  Similarity score: 0.500

  Given the two sentences:
- ""A girl is styling her hair.""
- ""A girl is brushing her hair.,
  choose the best similarity score (0 not similar at all, 5 very similar):
  0, 1, 2, 3, 4, 5. The answer is:
  5

  Sentence 1: A cat is rubbing against baby's face. 

  Sentence2: A cat is rubbing against a baby. 

  Similarity score: 3.800 

  Sentence 1: A woman is writing.	

  Sentence 2: A woman is swimming. 
","
  Sentence 1: A cat is rubbing against baby's face. 

  Sentence2: A cat is rubbing against a baby. 

  Similarity score: 3.800 

  Sentence 1: A woman is writing.	

  Sentence 2: A woman is swimming. 

  Similarity score: 0.500

  Given the two sentences:
- ""A girl is styling her hair.""
- ""A girl is brushing her hair.,
  choose the best similarity score (0 not similar at all, 5 very similar):
  0, 1, 2, 3, 4, 5. The answer is:
  3.

Explanation:

The two sentences are similar because they both describe a girl doing something with her hair. The words ""styling"" and ""brushing"" are both related to hair care, and the actions described in the two sentences are similar. Therefore, the similarity score between the two sentences is 3."
3.6,A group of men play soccer on the beach.,A group of boys are playing soccer on the beach.,"
  Sentence 1: A cat is rubbing against baby's face. 

  Sentence2: A cat is rubbing against a baby. 

  Similarity score: 3.800 

  Sentence 1: A woman is writing.	

  Sentence 2: A woman is swimming. 

  Similarity score: 0.500

  Given the two sentences:
- ""A group of men play soccer on the beach.""
- ""A group of boys are playing soccer on the beach.,
  choose the best similarity score (0 not similar at all, 5 very similar):
  0, 1, 2, 3, 4, 5. The answer is:
  4.

  Given the two sentences:
- ""A man is reading a newspaper.""
- ""A man is reading a newspaper.,
  choose the best similarity score (0 not similar at all, 5 very similar):
  0, 1, 2, 3, 4, 5. The answer is:
  4","
  Sentence 1: A cat is rubbing against baby's face. 

  Sentence2: A cat is rubbing against a baby. 

  Similarity score: 3.800 

  Sentence 1: A woman is writing.	

  Sentence 2: A woman is swimming. 

  Similarity score: 0.500

  Given the two sentences:
- ""A group of men play soccer on the beach.""
- ""A group of boys are playing soccer on the beach.,
  choose the best similarity score (0 not similar at all, 5 very similar):
  0, 1, 2, 3, 4, 5. The answer is:
  2.

Explanation:

The similarity between the two sentences is moderate. Both sentences use the same verb (""play"") and the same noun (""soccer"") in a similar context. However, the second sentence adds the modifying phrase ""boys are playing"" which provides additional information about the group of people playing soccer. Therefore, the similarity"
5.0,One woman is measuring another woman's ankle.,A woman measures another woman's ankle.,"
  Sentence 1: A cat is rubbing against baby's face. 

  Sentence2: A cat is rubbing against a baby. 

  Similarity score: 3.800 

  Sentence 1: A woman is writing.	

  Sentence 2: A woman is swimming. 

  Similarity score: 0.500

  Given the two sentences:
- ""One woman is measuring another woman's ankle.""
- ""A woman measures another woman's ankle.,
  choose the best similarity score (0 not similar at all, 5 very similar):
  0, 1, 2, 3, 4, 5. The answer is:
  5

  Sentence 1: A woman is measuring another woman's ankle. 

  Sentence 2: A woman measures another woman's ankle. 

  Similarity score: 5.000 

  Given the two sentences:
- ""One woman is measuring another","
  Sentence 1: A cat is rubbing against baby's face. 

  Sentence2: A cat is rubbing against a baby. 

  Similarity score: 3.800 

  Sentence 1: A woman is writing.	

  Sentence 2: A woman is swimming. 

  Similarity score: 0.500

  Given the two sentences:
- ""One woman is measuring another woman's ankle.""
- ""A woman measures another woman's ankle.,
  choose the best similarity score (0 not similar at all, 5 very similar):
  0, 1, 2, 3, 4, 5. The answer is:
  5.

Explanation:

The two sentences are very similar, as they both describe a woman measuring another woman's ankle. The only difference between them is the use of a comma after ""woman"" in the second sentence. Therefore, the similarity score between these two sentences is 5, indicating that they are very similar."
4.2,A man is cutting up a cucumber.,A man is slicing a cucumber.,"
  Sentence 1: A cat is rubbing against baby's face. 

  Sentence2: A cat is rubbing against a baby. 

  Similarity score: 3.800 

  Sentence 1: A woman is writing.	

  Sentence 2: A woman is swimming. 

  Similarity score: 0.500

  Given the two sentences:
- ""A man is cutting up a cucumber.""
- ""A man is slicing a cucumber.,
  choose the best similarity score (0 not similar at all, 5 very similar):
  0, 1, 2, 3, 4, 5. The answer is:
  4
  
  Given the two sentences:
- ""A man is cutting up a cucumber.""
- ""A man is slicing a cucumber.,
  choose the best similarity score (0 not similar at all, 5 very similar):
  0, 1, 2, 3, 4, 5. The answer","
  Sentence 1: A cat is rubbing against baby's face. 

  Sentence2: A cat is rubbing against a baby. 

  Similarity score: 3.800 

  Sentence 1: A woman is writing.	

  Sentence 2: A woman is swimming. 

  Similarity score: 0.500

  Given the two sentences:
- ""A man is cutting up a cucumber.""
- ""A man is slicing a cucumber.,
  choose the best similarity score (0 not similar at all, 5 very similar):
  0, 1, 2, 3, 4, 5. The answer is:
  3."
1.5,A man is playing a harp.,A man is playing a keyboard.,"
  Sentence 1: A cat is rubbing against baby's face. 

  Sentence2: A cat is rubbing against a baby. 

  Similarity score: 3.800 

  Sentence 1: A woman is writing.	

  Sentence 2: A woman is swimming. 

  Similarity score: 0.500

  Given the two sentences:
- ""A man is playing a harp.""
- ""A man is playing a keyboard.,
  choose the best similarity score (0 not similar at all, 5 very similar):
  0, 1, 2, 3, 4, 5. The answer is:
  5

  Given the two sentences:
- ""A woman is writing.""
- ""A woman is swimming."",
  choose the best similarity score (0 not similar at all, 5 very similar):
  0, 1, 2, 3, 4, 5. The answer is:
  5

  Given the two sentences:
- ""A","
  Sentence 1: A cat is rubbing against baby's face. 

  Sentence2: A cat is rubbing against a baby. 

  Similarity score: 3.800 

  Sentence 1: A woman is writing.	

  Sentence 2: A woman is swimming. 

  Similarity score: 0.500

  Given the two sentences:
- ""A man is playing a harp.""
- ""A man is playing a keyboard.,
  choose the best similarity score (0 not similar at all, 5 very similar):
  0, 1, 2, 3, 4, 5. The answer is:
  3.

Explanation:

The similarity between the two sentences is moderate. Both sentences contain the word ""man"" and ""playing,"" which suggests that they are related in some way. However, the sentences are not identical, as one refers to a harp and the other to a keyboard. Therefore, the similarity score is 3, indicating that the sentences are moderately similar."
1.8,A woman is cutting onions.,A woman is cutting tofu.,"
  Sentence 1: A cat is rubbing against baby's face. 

  Sentence2: A cat is rubbing against a baby. 

  Similarity score: 3.800 

  Sentence 1: A woman is writing.	

  Sentence 2: A woman is swimming. 

  Similarity score: 0.500

  Given the two sentences:
- ""A woman is cutting onions.""
- ""A woman is cutting tofu.,
  choose the best similarity score (0 not similar at all, 5 very similar):
  0, 1, 2, 3, 4, 5. The answer is:
  5
  
  Sentence 1: A cat is rubbing against baby's face. 

  Sentence2: A cat is rubbing against a baby. 

  Similarity score: 3.800 

  Sentence 1: A woman is writing.	

  Sentence 2: A woman is swimming. 

","
  Sentence 1: A cat is rubbing against baby's face. 

  Sentence2: A cat is rubbing against a baby. 

  Similarity score: 3.800 

  Sentence 1: A woman is writing.	

  Sentence 2: A woman is swimming. 

  Similarity score: 0.500

  Given the two sentences:
- ""A woman is cutting onions.""
- ""A woman is cutting tofu.,
  choose the best similarity score (0 not similar at all, 5 very similar):
  0, 1, 2, 3, 4, 5. The answer is:
  4.

Explanation:
The two sentences are similar in that they both contain the word ""cutting"" and are related to food preparation. However, the context and content of the sentences are different, with one sentence referring to onions and the other to tofu. Therefore, the similarity score is 4, indicating that the sentences are moderately similar."
3.5,A man is riding an electric bicycle.,A man is riding a bicycle.,"
  Sentence 1: A cat is rubbing against baby's face. 

  Sentence2: A cat is rubbing against a baby. 

  Similarity score: 3.800 

  Sentence 1: A woman is writing.	

  Sentence 2: A woman is swimming. 

  Similarity score: 0.500

  Given the two sentences:
- ""A man is riding an electric bicycle.""
- ""A man is riding a bicycle.,
  choose the best similarity score (0 not similar at all, 5 very similar):
  0, 1, 2, 3, 4, 5. The answer is:
  3

  Given the two sentences:
- ""A man is riding an electric bicycle.""
- ""A man is riding a bicycle.,
  choose the best similarity score (0 not similar at all, 5 very similar):
  0, 1, 2, 3, 4, 5. The answer is","
  Sentence 1: A cat is rubbing against baby's face. 

  Sentence2: A cat is rubbing against a baby. 

  Similarity score: 3.800 

  Sentence 1: A woman is writing.	

  Sentence 2: A woman is swimming. 

  Similarity score: 0.500

  Given the two sentences:
- ""A man is riding an electric bicycle.""
- ""A man is riding a bicycle.,
  choose the best similarity score (0 not similar at all, 5 very similar):
  0, 1, 2, 3, 4, 5. The answer is:
  4."
2.2,A man is playing the drums.,A man is playing the guitar.,"
  Sentence 1: A cat is rubbing against baby's face. 

  Sentence2: A cat is rubbing against a baby. 

  Similarity score: 3.800 

  Sentence 1: A woman is writing.	

  Sentence 2: A woman is swimming. 

  Similarity score: 0.500

  Given the two sentences:
- ""A man is playing the drums.""
- ""A man is playing the guitar.,
  choose the best similarity score (0 not similar at all, 5 very similar):
  0, 1, 2, 3, 4, 5. The answer is:
  5.

  Given the two sentences:
- ""A man is playing the drums.""
- ""A man is playing the guitar.,
  choose the best similarity score (0 not similar at all, 5 very similar):
  0, 1, 2, 3, 4, 5. The answer is:
  4.

  Given the two sentences:","
  Sentence 1: A cat is rubbing against baby's face. 

  Sentence2: A cat is rubbing against a baby. 

  Similarity score: 3.800 

  Sentence 1: A woman is writing.	

  Sentence 2: A woman is swimming. 

  Similarity score: 0.500

  Given the two sentences:
- ""A man is playing the drums.""
- ""A man is playing the guitar.,
  choose the best similarity score (0 not similar at all, 5 very similar):
  0, 1, 2, 3, 4, 5. The answer is:
  3.

Explanation:

* Sentence 1 and sentence 2 are both about men playing musical instruments, so they are similar.
* Sentence 1 and sentence 3 are both about men playing instruments, but sentence 3 is more specific (drums vs guitar). Therefore, the similarity score between sentence 1 and sentence 3 is higher (3) than the similarity"
2.2,A man is playing guitar.,A lady is playing the guitar.,"
  Sentence 1: A cat is rubbing against baby's face. 

  Sentence2: A cat is rubbing against a baby. 

  Similarity score: 3.800 

  Sentence 1: A woman is writing.	

  Sentence 2: A woman is swimming. 

  Similarity score: 0.500

  Given the two sentences:
- ""A man is playing guitar.""
- ""A lady is playing the guitar.,
  choose the best similarity score (0 not similar at all, 5 very similar):
  0, 1, 2, 3, 4, 5. The answer is:
  0.

  Given the two sentences:
- ""A man is playing guitar.""
- ""A lady is playing the guitar.,
  choose the best similarity score (0 not similar at all, 5 very similar):
  0, 1, 2, 3, 4, 5. The answer is:
  0.

  Given the two sentences:
-","
  Sentence 1: A cat is rubbing against baby's face. 

  Sentence2: A cat is rubbing against a baby. 

  Similarity score: 3.800 

  Sentence 1: A woman is writing.	

  Sentence 2: A woman is swimming. 

  Similarity score: 0.500

  Given the two sentences:
- ""A man is playing guitar.""
- ""A lady is playing the guitar.,
  choose the best similarity score (0 not similar at all, 5 very similar):
  0, 1, 2, 3, 4, 5. The answer is:
  3."
1.714,A man is playing a guitar.,A man is playing a trumpet.,"
  Sentence 1: A cat is rubbing against baby's face. 

  Sentence2: A cat is rubbing against a baby. 

  Similarity score: 3.800 

  Sentence 1: A woman is writing.	

  Sentence 2: A woman is swimming. 

  Similarity score: 0.500

  Given the two sentences:
- ""A man is playing a guitar.""
- ""A man is playing a trumpet.,
  choose the best similarity score (0 not similar at all, 5 very similar):
  0, 1, 2, 3, 4, 5. The answer is:
  5

  Given the two sentences:
- ""A man is playing a guitar.""
- ""A man is playing a trumpet.,
  choose the best similarity score (0 not similar at all, 5 very similar):
  0, 1, 2, 3, 4, 5. The answer is:
  5

  Given the two","
  Sentence 1: A cat is rubbing against baby's face. 

  Sentence2: A cat is rubbing against a baby. 

  Similarity score: 3.800 

  Sentence 1: A woman is writing.	

  Sentence 2: A woman is swimming. 

  Similarity score: 0.500

  Given the two sentences:
- ""A man is playing a guitar.""
- ""A man is playing a trumpet.,
  choose the best similarity score (0 not similar at all, 5 very similar):
  0, 1, 2, 3, 4, 5. The answer is:
  3. The two sentences are moderately similar, as both mention a man engaging in an activity."
