task,suite name,condition,prompt,completion,log_prob,prediction
0,subordination,sub_no-matrix, As the doctor studied the book,.,tensor(-5.1427),['((3;%sub_no-matrix%) > (3;%no-sub_no-matrix%) ) & ((3;%sub_matrix%) < (3;%no-sub_matrix%) )']
0,subordination,no-sub_no-matrix, The doctor studied the book,.,tensor(-1.8918),['((3;%sub_no-matrix%) > (3;%no-sub_no-matrix%) ) & ((3;%sub_matrix%) < (3;%no-sub_matrix%) )']
0,subordination,sub_matrix, As the doctor studied the book,", the nurse walked into the room .",tensor(-2.4924),['((3;%sub_no-matrix%) > (3;%no-sub_no-matrix%) ) & ((3;%sub_matrix%) < (3;%no-sub_matrix%) )']
0,subordination,no-sub_matrix, The doctor studied the book,", the nurse walked into the room .",tensor(-3.5332),['((3;%sub_no-matrix%) > (3;%no-sub_no-matrix%) ) & ((3;%sub_matrix%) < (3;%no-sub_matrix%) )']
1,subordination,sub_no-matrix, After the man shot the bird,.,tensor(-5.0617),['((3;%sub_no-matrix%) > (3;%no-sub_no-matrix%) ) & ((3;%sub_matrix%) < (3;%no-sub_matrix%) )']
1,subordination,no-sub_no-matrix, The man shot the bird,.,tensor(-1.6878),['((3;%sub_no-matrix%) > (3;%no-sub_no-matrix%) ) & ((3;%sub_matrix%) < (3;%no-sub_matrix%) )']
1,subordination,sub_matrix, After the man shot the bird,", he loaded his gun .",tensor(-3.2634),['((3;%sub_no-matrix%) > (3;%no-sub_no-matrix%) ) & ((3;%sub_matrix%) < (3;%no-sub_matrix%) )']
1,subordination,no-sub_matrix, The man shot the bird,", he loaded his gun .",tensor(-3.7068),['((3;%sub_no-matrix%) > (3;%no-sub_no-matrix%) ) & ((3;%sub_matrix%) < (3;%no-sub_matrix%) )']
2,subordination,sub_no-matrix, Because the students did not like the material,.,tensor(-2.2049),['((3;%sub_no-matrix%) > (3;%no-sub_no-matrix%) ) & ((3;%sub_matrix%) < (3;%no-sub_matrix%) )']
2,subordination,no-sub_no-matrix, The students did not like the material,.,tensor(-1.3439),['((3;%sub_no-matrix%) > (3;%no-sub_no-matrix%) ) & ((3;%sub_matrix%) < (3;%no-sub_matrix%) )']
2,subordination,sub_matrix, Because the students did not like the material,", they complained to the principal .",tensor(-2.3891),['((3;%sub_no-matrix%) > (3;%no-sub_no-matrix%) ) & ((3;%sub_matrix%) < (3;%no-sub_matrix%) )']
2,subordination,no-sub_matrix, The students did not like the material,", they complained to the principal .",tensor(-2.9268),['((3;%sub_no-matrix%) > (3;%no-sub_no-matrix%) ) & ((3;%sub_matrix%) < (3;%no-sub_matrix%) )']
3,subordination,sub_no-matrix, When the general entered the camp,.,tensor(-6.5791),['((3;%sub_no-matrix%) > (3;%no-sub_no-matrix%) ) & ((3;%sub_matrix%) < (3;%no-sub_matrix%) )']
3,subordination,no-sub_no-matrix, The general entered the camp,.,tensor(-1.7395),['((3;%sub_no-matrix%) > (3;%no-sub_no-matrix%) ) & ((3;%sub_matrix%) < (3;%no-sub_matrix%) )']
3,subordination,sub_matrix, When the general entered the camp,", the soldiers cheered .",tensor(-2.8137),['((3;%sub_no-matrix%) > (3;%no-sub_no-matrix%) ) & ((3;%sub_matrix%) < (3;%no-sub_matrix%) )']
3,subordination,no-sub_matrix, The general entered the camp,", the soldiers cheered .",tensor(-3.2305),['((3;%sub_no-matrix%) > (3;%no-sub_no-matrix%) ) & ((3;%sub_matrix%) < (3;%no-sub_matrix%) )']
4,subordination,sub_no-matrix, After the delivery man delivered the newspaper,.,tensor(-3.3479),['((3;%sub_no-matrix%) > (3;%no-sub_no-matrix%) ) & ((3;%sub_matrix%) < (3;%no-sub_matrix%) )']
4,subordination,no-sub_no-matrix, The delivery man delivered the newspaper,.,tensor(-1.7236),['((3;%sub_no-matrix%) > (3;%no-sub_no-matrix%) ) & ((3;%sub_matrix%) < (3;%no-sub_matrix%) )']
