,text,span1_index,span2_index,span1_text,span2_text,idx,label,prompt,log_prob_false,log_prob_true,prediction,log_prob_false_chat,log_prob_true_chat,prediction_chat
0,"The signs over the shops' doors had pictures that indicated what work was done inside. Although more and more people were learning how to read, each artisan still had signs, not wishing to lose a possible patron merely because he happened to be illiterate.",26,39,artisan,he,128,0,"The signs over the shops' doors had pictures that indicated what work was done inside. Although more and more people were learning how to read, each ARTISAN still had signs, not wishing to lose a possible patron merely because HE happened to be illiterate. Coreference:","tensor(-17.7031, dtype=torch.float16)","tensor(-17.5781, dtype=torch.float16)",1,"tensor(-16.6719, dtype=torch.float16)","tensor(-16.6562, dtype=torch.float16)",1
1,"Bob paid for Charlie 's college education, but now Charlie acts as though it never happened. He is very ungrateful.",0,16,Bob,He,12,0,"BOB paid for Charlie 's college education, but now Charlie acts as though it never happened. HE is very ungrateful. Coreference:","tensor(-18.9375, dtype=torch.float16)","tensor(-18.8125, dtype=torch.float16)",1,"tensor(-17.4531, dtype=torch.float16)","tensor(-17.4219, dtype=torch.float16)",1
2,Mark heard Steve 's feet going down the ladder. The door of the shop closed after him. He ran to look out the window.,0,17,Mark,He,412,1,MARK heard Steve 's feet going down the ladder. The door of the shop closed after him. HE ran to look out the window. Coreference:,"tensor(-18.4219, dtype=torch.float16)","tensor(-18.2969, dtype=torch.float16)",1,"tensor(-16.9688, dtype=torch.float16)","tensor(-16.9531, dtype=torch.float16)",1
3,"Susan knew that Ann 's son had been in a car accident, because she told her about it.",3,13,Ann,she,442,1,"Susan knew that ANN 's son had been in a car accident, because SHE told her about it. Coreference:","tensor(-18.4062, dtype=torch.float16)","tensor(-18.2969, dtype=torch.float16)",1,"tensor(-17.5000, dtype=torch.float16)","tensor(-17.4688, dtype=torch.float16)",1
4,"Emma's mother had died long ago, and her place had been taken by an excellent woman as governess.",0,7,Emma,her,433,0,"EMMA'S mother had died long ago, and HER place had been taken by an excellent woman as governess. Coreference:","tensor(-18.1875, dtype=torch.float16)","tensor(-18.0312, dtype=torch.float16)",1,"tensor(-17.0938, dtype=torch.float16)","tensor(-17.0625, dtype=torch.float16)",1
5,"The sack of potatoes had been placed above the bag of flour , so it had to be moved first.",8,14,The bag of flour,it,503,0,"The sack of potatoes had been placed above THE bag of flour , so IT had to be moved first. Coreference:","tensor(-18.1875, dtype=torch.float16)","tensor(-18.0938, dtype=torch.float16)",1,"tensor(-17.6406, dtype=torch.float16)","tensor(-17.6406, dtype=torch.float16)",0
6,"After a somewhat lengthy conversation, Nancy convinced the housekeeper that there was no immediate cause for alarm. She did not mention the incident at the Hamilton bus station, knowing it would only add to Mrs. Gruen’s uneasiness.",5,17,Nancy,She,464,1,"After a somewhat lengthy conversation, NANCY convinced the housekeeper that there was no immediate cause for alarm. SHE did not mention the incident at the Hamilton bus station, knowing it would only add to Mrs. Gruen’s uneasiness. Coreference:","tensor(-17.5781, dtype=torch.float16)","tensor(-17.4375, dtype=torch.float16)",1,"tensor(-15.8906, dtype=torch.float16)","tensor(-15.8516, dtype=torch.float16)",1
7,The city councilmen refused the demonstrators a permit because they feared violence.,0,9,The city councilmen,they,44,1,THE city councilmen refused the demonstrators a permit because THEY feared violence. Coreference:,"tensor(-19.0781, dtype=torch.float16)","tensor(-19.0156, dtype=torch.float16)",1,"tensor(-16.7188, dtype=torch.float16)","tensor(-16.7656, dtype=torch.float16)",0
8,"Although they ran at about the same speed, Sue beat Sally because she had such a good start.",8,12,Sue,she,402,1,"Although they ran at about the same speed, SUE beat Sally because SHE had such a good start. Coreference:","tensor(-18., dtype=torch.float16)","tensor(-17.8750, dtype=torch.float16)",1,"tensor(-17.3750, dtype=torch.float16)","tensor(-17.3438, dtype=torch.float16)",1
9,Emma did not pass the ball to Janie although she was open.,0,9,Emma,she,401,0,EMMA did not pass the ball to Janie although SHE was open. Coreference:,"tensor(-18.2656, dtype=torch.float16)","tensor(-18.1719, dtype=torch.float16)",1,"tensor(-16.7812, dtype=torch.float16)","tensor(-16.8281, dtype=torch.float16)",0
10,"Mark told Pete many lies about himself, which Pete included in his book. He should have been more truthful.",0,13,Mark,He,458,1,"MARK told Pete many lies about himself, which Pete included in his book. HE should have been more truthful. Coreference:","tensor(-18.5938, dtype=torch.float16)","tensor(-18.5156, dtype=torch.float16)",1,"tensor(-17.4688, dtype=torch.float16)","tensor(-17.4844, dtype=torch.float16)",0
11,I put the cake away in the refrigerator . It has a lot of leftovers in it.,6,9,The refrigerator,It,81,1,I put the cake away in THE refrigerator . IT has a lot of leftovers in it. Coreference:,"tensor(-18.2656, dtype=torch.float16)","tensor(-18.1562, dtype=torch.float16)",1,"tensor(-15.9375, dtype=torch.float16)","tensor(-15.9375, dtype=torch.float16)",0
12,Billy cried because Toby wouldn't accept his toy.,0,6,Billy,his,90,1,BILLY cried because Toby wouldn't accept HIS toy. Coreference:,"tensor(-17.9219, dtype=torch.float16)","tensor(-17.7812, dtype=torch.float16)",1,"tensor(-16.7500, dtype=torch.float16)","tensor(-16.6875, dtype=torch.float16)",1
13,Frank was upset with Tom because the toaster he had sold him didn't work.,4,8,Tom,he,203,1,Frank was upset with TOM because the toaster HE had sold him didn't work. Coreference:,"tensor(-17.8594, dtype=torch.float16)","tensor(-17.7812, dtype=torch.float16)",1,"tensor(-16.7188, dtype=torch.float16)","tensor(-16.7656, dtype=torch.float16)",0
