prompt,correct,log_prob_correct,incorrect,log_prob_incorrect,correct_prediction
My body cast a shadow over the grass.,The sun was rising.,tensor(-4.4031),The grass was cut.,tensor(-4.9314),True
The woman tolerated her friend's difficult behavior.,The woman knew her friend was going through a hard time.,tensor(-2.3509),The woman felt that her friend took advantage of her kindness.,tensor(-2.4729),True
The women met for coffee.,They wanted to catch up with each other.,tensor(-2.6818),The cafe reopened in a new location.,tensor(-3.1916),True
The runner wore shorts.,The forecast predicted high temperatures.,tensor(-4.0954),She planned to run along the beach.,tensor(-3.7655),False
The guests of the party hid behind the couch.,It was a surprise party.,tensor(-3.3635),It was a birthday party.,tensor(-2.9453),False
The politician lost the election.,No one voted for him.,tensor(-2.7956),He ran negative campaign ads.,tensor(-4.6217),True
The stain came out of the shirt.,I bleached the shirt.,tensor(-3.7531),I patched the shirt.,tensor(-3.8162),True
The man got a discount on his groceries.,He used a coupon.,tensor(-3.4223),He greeted the cashier.,tensor(-2.8528),False
The physician misdiagnosed the patient.,The patient filed a malpractice lawsuit against the physician.,tensor(-1.4778),The patient disclosed confidential information to the physician.,tensor(-2.6107),True
The customer filed a complaint with the store manager.,The sales associate acted rude to the customer.,tensor(-3.5550),The sales associate undercharged the customer.,tensor(-4.0301),True
The woman repaired her faucet.,The faucet was leaky.,tensor(-2.9018),The faucet was turned off.,tensor(-3.0595),True
The elderly woman suffered a stroke.,The woman's daughter moved in to take care of her.,tensor(-2.5900),The woman's daughter came over to clean her house.,tensor(-3.2487),True
The pond froze over for the winter.,People skated on the pond.,tensor(-1.9656),People brought boats to the pond.,tensor(-3.2624),True
The offender violated parole.,She was sent back to jail.,tensor(-2.4387),She stole money from a church.,tensor(-3.3351),True
I poured water on my sleeping friend.,My friend awoke.,tensor(-2.9674),My friend snored.,tensor(-4.1468),True
The girl gasped.,Her friend stuck an ice cube down her back.,tensor(-3.8823),Her friend gave her a pat on the back.,tensor(-2.7235),False
The shirt shrunk.,I put it in the dryer.,tensor(-2.6944),I poured bleach on it.,tensor(-3.7177),True
It got dark outside.,The moon became visible in the sky.,tensor(-3.3508),Snowflakes began to fall from the sky.,tensor(-2.1208),False
I hung up the phone.,The caller said goodbye to me.,tensor(-4.2004),The caller identified himself to me.,tensor(-4.5674),True
