task,suite name,condition,prompt,completion,log_prob,prediction
0,subordination,sub_no-matrix, As the doctor studied the book,.,tensor(-5.6447),['((3;%sub_no-matrix%) > (3;%no-sub_no-matrix%) ) & ((3;%sub_matrix%) < (3;%no-sub_matrix%) )']
0,subordination,no-sub_no-matrix, The doctor studied the book,.,tensor(-3.6176),['((3;%sub_no-matrix%) > (3;%no-sub_no-matrix%) ) & ((3;%sub_matrix%) < (3;%no-sub_matrix%) )']
0,subordination,sub_matrix, As the doctor studied the book,", the nurse walked into the room .",tensor(-2.4630),['((3;%sub_no-matrix%) > (3;%no-sub_no-matrix%) ) & ((3;%sub_matrix%) < (3;%no-sub_matrix%) )']
0,subordination,no-sub_matrix, The doctor studied the book,", the nurse walked into the room .",tensor(-3.3257),['((3;%sub_no-matrix%) > (3;%no-sub_no-matrix%) ) & ((3;%sub_matrix%) < (3;%no-sub_matrix%) )']
1,subordination,sub_no-matrix, After the man shot the bird,.,tensor(-5.2804),['((3;%sub_no-matrix%) > (3;%no-sub_no-matrix%) ) & ((3;%sub_matrix%) < (3;%no-sub_matrix%) )']
1,subordination,no-sub_no-matrix, The man shot the bird,.,tensor(-2.7586),['((3;%sub_no-matrix%) > (3;%no-sub_no-matrix%) ) & ((3;%sub_matrix%) < (3;%no-sub_matrix%) )']
1,subordination,sub_matrix, After the man shot the bird,", he loaded his gun .",tensor(-3.2255),['((3;%sub_no-matrix%) > (3;%no-sub_no-matrix%) ) & ((3;%sub_matrix%) < (3;%no-sub_matrix%) )']
1,subordination,no-sub_matrix, The man shot the bird,", he loaded his gun .",tensor(-4.0729),['((3;%sub_no-matrix%) > (3;%no-sub_no-matrix%) ) & ((3;%sub_matrix%) < (3;%no-sub_matrix%) )']
2,subordination,sub_no-matrix, Because the students did not like the material,.,tensor(-2.5938),['((3;%sub_no-matrix%) > (3;%no-sub_no-matrix%) ) & ((3;%sub_matrix%) < (3;%no-sub_matrix%) )']
2,subordination,no-sub_no-matrix, The students did not like the material,.,tensor(-2.2649),['((3;%sub_no-matrix%) > (3;%no-sub_no-matrix%) ) & ((3;%sub_matrix%) < (3;%no-sub_matrix%) )']
2,subordination,sub_matrix, Because the students did not like the material,", they complained to the principal .",tensor(-2.3516),['((3;%sub_no-matrix%) > (3;%no-sub_no-matrix%) ) & ((3;%sub_matrix%) < (3;%no-sub_matrix%) )']
2,subordination,no-sub_matrix, The students did not like the material,", they complained to the principal .",tensor(-2.8475),['((3;%sub_no-matrix%) > (3;%no-sub_no-matrix%) ) & ((3;%sub_matrix%) < (3;%no-sub_matrix%) )']
3,subordination,sub_no-matrix, When the general entered the camp,.,tensor(-6.0212),['((3;%sub_no-matrix%) > (3;%no-sub_no-matrix%) ) & ((3;%sub_matrix%) < (3;%no-sub_matrix%) )']
3,subordination,no-sub_no-matrix, The general entered the camp,.,tensor(-3.1879),['((3;%sub_no-matrix%) > (3;%no-sub_no-matrix%) ) & ((3;%sub_matrix%) < (3;%no-sub_matrix%) )']
3,subordination,sub_matrix, When the general entered the camp,", the soldiers cheered .",tensor(-2.1595),['((3;%sub_no-matrix%) > (3;%no-sub_no-matrix%) ) & ((3;%sub_matrix%) < (3;%no-sub_matrix%) )']
3,subordination,no-sub_matrix, The general entered the camp,", the soldiers cheered .",tensor(-2.9573),['((3;%sub_no-matrix%) > (3;%no-sub_no-matrix%) ) & ((3;%sub_matrix%) < (3;%no-sub_matrix%) )']
4,subordination,sub_no-matrix, After the delivery man delivered the newspaper,.,tensor(-4.0781),['((3;%sub_no-matrix%) > (3;%no-sub_no-matrix%) ) & ((3;%sub_matrix%) < (3;%no-sub_matrix%) )']
4,subordination,no-sub_no-matrix, The delivery man delivered the newspaper,.,tensor(-2.8843),['((3;%sub_no-matrix%) > (3;%no-sub_no-matrix%) ) & ((3;%sub_matrix%) < (3;%no-sub_matrix%) )']
