task,suite name,condition,prompt,completion,log_prob,prediction
0,subordination,sub_no-matrix, As the doctor studied the book,.,tensor(-7.2244),['((3;%sub_no-matrix%) > (3;%no-sub_no-matrix%) ) & ((3;%sub_matrix%) < (3;%no-sub_matrix%) )']
0,subordination,no-sub_no-matrix, The doctor studied the book,.,tensor(-2.1799),['((3;%sub_no-matrix%) > (3;%no-sub_no-matrix%) ) & ((3;%sub_matrix%) < (3;%no-sub_matrix%) )']
0,subordination,sub_matrix, As the doctor studied the book,", the nurse walked into the room .",tensor(-2.3432),['((3;%sub_no-matrix%) > (3;%no-sub_no-matrix%) ) & ((3;%sub_matrix%) < (3;%no-sub_matrix%) )']
0,subordination,no-sub_matrix, The doctor studied the book,", the nurse walked into the room .",tensor(-3.2839),['((3;%sub_no-matrix%) > (3;%no-sub_no-matrix%) ) & ((3;%sub_matrix%) < (3;%no-sub_matrix%) )']
1,subordination,sub_no-matrix, After the man shot the bird,.,tensor(-5.5746),['((3;%sub_no-matrix%) > (3;%no-sub_no-matrix%) ) & ((3;%sub_matrix%) < (3;%no-sub_matrix%) )']
1,subordination,no-sub_no-matrix, The man shot the bird,.,tensor(-1.3496),['((3;%sub_no-matrix%) > (3;%no-sub_no-matrix%) ) & ((3;%sub_matrix%) < (3;%no-sub_matrix%) )']
1,subordination,sub_matrix, After the man shot the bird,", he loaded his gun .",tensor(-2.9828),['((3;%sub_no-matrix%) > (3;%no-sub_no-matrix%) ) & ((3;%sub_matrix%) < (3;%no-sub_matrix%) )']
1,subordination,no-sub_matrix, The man shot the bird,", he loaded his gun .",tensor(-3.9903),['((3;%sub_no-matrix%) > (3;%no-sub_no-matrix%) ) & ((3;%sub_matrix%) < (3;%no-sub_matrix%) )']
2,subordination,sub_no-matrix, Because the students did not like the material,.,tensor(-2.7692),['((3;%sub_no-matrix%) > (3;%no-sub_no-matrix%) ) & ((3;%sub_matrix%) < (3;%no-sub_matrix%) )']
2,subordination,no-sub_no-matrix, The students did not like the material,.,tensor(-1.7939),['((3;%sub_no-matrix%) > (3;%no-sub_no-matrix%) ) & ((3;%sub_matrix%) < (3;%no-sub_matrix%) )']
2,subordination,sub_matrix, Because the students did not like the material,", they complained to the principal .",tensor(-2.1567),['((3;%sub_no-matrix%) > (3;%no-sub_no-matrix%) ) & ((3;%sub_matrix%) < (3;%no-sub_matrix%) )']
2,subordination,no-sub_matrix, The students did not like the material,", they complained to the principal .",tensor(-2.7869),['((3;%sub_no-matrix%) > (3;%no-sub_no-matrix%) ) & ((3;%sub_matrix%) < (3;%no-sub_matrix%) )']
3,subordination,sub_no-matrix, When the general entered the camp,.,tensor(-7.6979),['((3;%sub_no-matrix%) > (3;%no-sub_no-matrix%) ) & ((3;%sub_matrix%) < (3;%no-sub_matrix%) )']
