dialogue,explicit_answer,options,Predicted Score LLaMA-13b
"Question: did you leave the cucumber in the den
Answer: I was in the dining_room",I didn't leave the cucumber in the den,"1. I didn't leave the cucumber in the den
2. the cucumber is in the dining_room
3. I left the cucumber in the dining_room
4. I leave the cucumber in the den","Question: were you in the basement

  Answer: I journeyed to the laundry

  Options: 1. I was in the basement
 2. I was in the playroom
 3. I was not in the basement
 4. I was not in the crawlspace

  Explict answer: I was not in the basement

  Question: was Emily there

  Answer: she was in the playroom

  Options: 1. Emily was in the laundry
 2. Emily was not in the laundry
 3. I was not in the laundry
 4. I don't know

  Explict answer: Emily was not in the laundry

  Question: were you in the sunroom

  Answer: I travelled to the kitchen

  Options: 1. I was in the sunroom
 2. I was in the den
 3. I was not in the den
 4. I was not in the sunroom

  Explict answer: I was not in the sunroom

  Question: did you leave the peas there

  Answer: I left them in the sunroom

  Options: 1. I didn't leave the peas in the kitchen
 2. I didn't leave the peas in the sunroom
 3. I leave the peas in the kitchen
 4. the peas are in the kitchen

  Explict answer: I didn't leave the peas in the kitchen

  Given this dialogue, choose the correct explicit answer option that captures the implicature of the answer.

  Question: did you leave the cucumber in the den
Answer: I was in the dining_room

  Options: 1. I didn't leave the cucumber in the den
2. the cucumber is in the dining_room
3. I left the cucumber in the dining_room
4. I leave the cucumber in the den

  The number of the option that captures the explicit answer: 
  1.
  2.
  3.
  4.



  Question: was the cucumber in the kitchen
Answer: I was in the dining_room

  Options: 1. the cucumber was in the kitchen
2. the cucumber was not in the kitchen
3. I didn't leave the cucumber in the kitchen
4. I didn't leave the cucumber in the dining_room

  The number of the option that captures the explicit answer: 
  1.
  2.
  3.
  4.



  Question: was the cucumber in the dining_room
Answer: I was in the dining_room

  Options: 1. the cucumber was in the dining_room
2. the cucumber was not in the dining_room
3. I didn't leave the cucumber in the dining_room
4. I didn't leave the cucumber in the kitchen

  The number of the option that captures the explicit answer: 
  1.
  2.
  3.
  4.



  Question: was the cucumber in the dining_room
Answer: I was in the dining_room

  Options: 1. the cucumber was in the dining_room
2. the cucumber was not in the dining_room
3. I didn't leave the cucumber in the dining_room
4. I didn't leave the cucumber in the kitchen

  The number of the option that captures the explicit answer: 
  1.
  2.
  3.
  4.



  Question: was the cucumber in the dining_room
Answer: I was in the dining_room

  Options: 1. the cucumber was in the dining_room
2. the cucumber was not in the dining_room
3. I didn't leave the cucumber in the dining_room
4. I didn't leave the cucumber in the kitchen

  The number of the option that captures the explicit answer: 
  1.
  2.
  3.
  4.



"
"Question: what about Mia
Answer: she placed the limes there",Mia didn't place the cucumber in the den,"1. I don't know if Mia place the cucumber in the den
2. I didn't place the cucumber in the den
3. Mia didn't place the cucumber in the den
4. Mia didn't place the limes in the den","Question: were you in the basement

  Answer: I journeyed to the laundry

  Options: 1. I was in the basement
 2. I was in the playroom
 3. I was not in the basement
 4. I was not in the crawlspace

  Explict answer: I was not in the basement

  Question: was Emily there

  Answer: she was in the playroom

  Options: 1. Emily was in the laundry
 2. Emily was not in the laundry
 3. I was not in the laundry
 4. I don't know

  Explict answer: Emily was not in the laundry

  Question: were you in the sunroom

  Answer: I travelled to the kitchen

  Options: 1. I was in the sunroom
 2. I was in the den
 3. I was not in the den
 4. I was not in the sunroom

  Explict answer: I was not in the sunroom

  Question: did you leave the peas there

  Answer: I left them in the sunroom

  Options: 1. I didn't leave the peas in the kitchen
 2. I didn't leave the peas in the sunroom
 3. I leave the peas in the kitchen
 4. the peas are in the kitchen

  Explict answer: I didn't leave the peas in the kitchen

  Given this dialogue, choose the correct explicit answer option that captures the implicature of the answer.

  Question: what about Mia
Answer: she placed the limes there

  Options: 1. I don't know if Mia place the cucumber in the den
2. I didn't place the cucumber in the den
3. Mia didn't place the cucumber in the den
4. Mia didn't place the limes in the den

  The number of the option that captures the explicit answer: 
  1. 2
  2. 1
  3. 2
  4. 4

  Question: where did you leave the cucumber

  Answer: I left the cucumber in the den

  Options: 1. I left the cucumber in the kitchen
 2. I left the cucumber in the den
 3. I left the cucumber in the den
 4. I left the cucumber in the kitchen

  Explict answer: I left the cucumber in the den

  Question: did you leave the cucumber there

  Answer: I left the cucumber in the den

  Options: 1. I didn't leave the cucumber in the kitchen
 2. I didn't leave the cucumber in the den
 3. I didn't leave the cucumber in the den
 4. I didn't leave the cucumber in the kitchen

  Explict answer: I didn't leave the cucumber in the kitchen

  Question: did you leave the cucumber in the den

  Answer: I left the cucumber in the den

  Options: 1. I didn't leave the cucumber in the kitchen
 2. I didn't leave the cucumber in the den
 3. I didn't leave the cucumber in the den
 4. I didn't leave the cucumber in the kitchen

  Explict answer: I didn't leave the cucumber in the kitchen

  Question: did you leave the cucumber in the kitchen

  Answer: I left the cucumber in the den

  Options: 1. I didn't leave the cucumber in the kitchen
 2. I didn't leave the cucumber in the den
 3. I didn't leave the cucumber in the den
 4. I didn't leave the cucumber in the kitchen

  Explict answer: I didn't leave the cucumber in the kitchen

  Question: did you leave the cucumber in the den

  Answer: I left the cucumber in the den

  Options: 1. I didn't leave the cucumber in the kitchen
 2."
"Question: was she there
Answer: she was there if not in the den",I am not sure if Mia was in the den,"1. I was not in the den
2. Mia was in the den
3. I am not sure if Mia was in the den
4. Mia was not in the den","Question: were you in the basement

  Answer: I journeyed to the laundry

  Options: 1. I was in the basement
 2. I was in the playroom
 3. I was not in the basement
 4. I was not in the crawlspace

  Explict answer: I was not in the basement

  Question: was Emily there

  Answer: she was in the playroom

  Options: 1. Emily was in the laundry
 2. Emily was not in the laundry
 3. I was not in the laundry
 4. I don't know

  Explict answer: Emily was not in the laundry

  Question: were you in the sunroom

  Answer: I travelled to the kitchen

  Options: 1. I was in the sunroom
 2. I was in the den
 3. I was not in the den
 4. I was not in the sunroom

  Explict answer: I was not in the sunroom

  Question: did you leave the peas there

  Answer: I left them in the sunroom

  Options: 1. I didn't leave the peas in the kitchen
 2. I didn't leave the peas in the sunroom
 3. I leave the peas in the kitchen
 4. the peas are in the kitchen

  Explict answer: I didn't leave the peas in the kitchen

  Given this dialogue, choose the correct explicit answer option that captures the implicature of the answer.

  Question: was she there
Answer: she was there if not in the den

  Options: 1. I was not in the den
2. Mia was in the den
3. I am not sure if Mia was in the den
4. Mia was not in the den

  The number of the option that captures the explicit answer: 
  1. 4
  2. 1
  3. 3
  4. 2

  Question: did you take the peas there
Answer: I took them there if not in the den

  Options: 1. I didn't take the peas in the den
2. I took the peas in the den
3. I am not sure if I took the peas in the den
4. I didn't take the peas in the den

  The number of the option that captures the explicit answer: 
  1. 4
  2. 1
  3. 3
  4. 2

  Question: were you in the den
Answer: I was in the den if not in the kitchen

  Options: 1. I was not in the kitchen
2. I was not in the den
3. I am not sure if I was in the den
4. I was in the den

  The number of the option that captures the explicit answer: 
  1. 4
  2. 1
  3. 3
  4. 2

  Question: were you in the kitchen
Answer: I was in the kitchen if not in the den

  Options: 1. I was not in the den
2. I was not in the kitchen
3. I am not sure if I was in the kitchen
4. I was in the kitchen

  The number of the option that captures the explicit answer: 
  1. 4
  2. 1
  3. 3
  4. 2

  Question: was she there
Answer: she was there if not in the kitchen

  Options: 1. I was not in the kitchen
2. Mia was in the kitchen
3. I am not sure if Mia was in the kitchen
4. Mia was not in the kitchen

  The number of the option that captures the explicit answer: 
  1. 4
  2. 1
  3. 3
  4. 2

  Question: did you take the peas there
Answer: I took them there if not in the kitchen

  Options: 1. I didn't take the peas in the kitchen
2. I took the peas in the kitchen
3. I am not sure if I took the peas in the kitchen
4. I didn'"
"Question: was Jayden in the den
Answer: he walked to the cellar",Jayden was not in the den,"1. Jayden was in the den
2. Jayden was not in the den
3. I don't know
4. I was not in the den","Question: were you in the basement

  Answer: I journeyed to the laundry

  Options: 1. I was in the basement
 2. I was in the playroom
 3. I was not in the basement
 4. I was not in the crawlspace

  Explict answer: I was not in the basement

  Question: was Emily there

  Answer: she was in the playroom

  Options: 1. Emily was in the laundry
 2. Emily was not in the laundry
 3. I was not in the laundry
 4. I don't know

  Explict answer: Emily was not in the laundry

  Question: were you in the sunroom

  Answer: I travelled to the kitchen

  Options: 1. I was in the sunroom
 2. I was in the den
 3. I was not in the den
 4. I was not in the sunroom

  Explict answer: I was not in the sunroom

  Question: did you leave the peas there

  Answer: I left them in the sunroom

  Options: 1. I didn't leave the peas in the kitchen
 2. I didn't leave the peas in the sunroom
 3. I leave the peas in the kitchen
 4. the peas are in the kitchen

  Explict answer: I didn't leave the peas in the kitchen

  Given this dialogue, choose the correct explicit answer option that captures the implicature of the answer.

  Question: was Jayden in the den
Answer: he walked to the cellar

  Options: 1. Jayden was in the den
2. Jayden was not in the den
3. I don't know
4. I was not in the den

  The number of the option that captures the explicit answer: 
  1. Jayden was in the den
  2. Jayden was not in the den
  3. I don't know
  4. I was not in the den

  Explict answer: Jayden was not in the den

  Question: was Emily in the cellar

  Answer: she was in the den

  Options: 1. Emily was in the cellar
2. Emily was not in the cellar
3. I don't know
4. I was not in the cellar

  The number of the option that captures the explicit answer: 
  1. Emily was in the cellar
  2. Emily was not in the cellar
  3. I don't know
  4. I was not in the cellar

  Explict answer: Emily was not in the cellar

  Question: was Jayden in the den

  Answer: he walked to the cellar

  Options: 1. Jayden was in the den
2. Jayden was not in the den
3. I don't know
4. I was not in the den

  The number of the option that captures the explicit answer: 
  1. Jayden was in the den
  2. Jayden was not in the den
  3. I don't know
  4. I was not in the den

  Explict answer: Jayden was not in the den

  Question: was Emily in the cellar

  Answer: she was in the den

  Options: 1. Emily was in the cellar
2. Emily was not in the cellar
3. I don't know
4. I was not in the cellar

  The number of the option that captures the explicit answer: 
  1. Emily was in the cellar
  2. Emily was not in the cellar
  3. I don't know
  4. I was not in the cellar

  Explict answer: Emily was not in the cellar

  Question: was Jayden in the den

  Answer: he walked to the cellar

  Options: 1. Jayden was in the den
2. Jayden was not in the den
3. I don't know
4. I was not in the den

  The number of the option that captures the explicit answer: 
  1"
"Question: did he leave the pineapples in the den
Answer: he left them in the den if not the cellar",I am not sure if Jayden leave the pineapples in the den,"1. I didn't leave the pineapples in the cellar
2. I am not sure if Jayden leave the pineapples in the den
3. Jayden didn't leave the pineapples in the den
4. I leave the pineapples in the cellar","Question: were you in the basement

  Answer: I journeyed to the laundry

  Options: 1. I was in the basement
 2. I was in the playroom
 3. I was not in the basement
 4. I was not in the crawlspace

  Explict answer: I was not in the basement

  Question: was Emily there

  Answer: she was in the playroom

  Options: 1. Emily was in the laundry
 2. Emily was not in the laundry
 3. I was not in the laundry
 4. I don't know

  Explict answer: Emily was not in the laundry

  Question: were you in the sunroom

  Answer: I travelled to the kitchen

  Options: 1. I was in the sunroom
 2. I was in the den
 3. I was not in the den
 4. I was not in the sunroom

  Explict answer: I was not in the sunroom

  Question: did you leave the peas there

  Answer: I left them in the sunroom

  Options: 1. I didn't leave the peas in the kitchen
 2. I didn't leave the peas in the sunroom
 3. I leave the peas in the kitchen
 4. the peas are in the kitchen

  Explict answer: I didn't leave the peas in the kitchen

  Given this dialogue, choose the correct explicit answer option that captures the implicature of the answer.

  Question: did he leave the pineapples in the den
Answer: he left them in the den if not the cellar

  Options: 1. I didn't leave the pineapples in the cellar
2. I am not sure if Jayden leave the pineapples in the den
3. Jayden didn't leave the pineapples in the den
4. I leave the pineapples in the cellar

  The number of the option that captures the explicit answer: 
  1. 4
  2. 3
  3. 1
  4. 2

  Question: were you in the sunroom

  Answer: I was not in the sunroom

  Options: 1. I was in the sunroom
 2. I was not in the sunroom
 3. I was in the den
 4. I was in the kitchen

  Explict answer: I was not in the sunroom

  Question: did you leave the peas there

  Answer: I didn't leave them in the sunroom

  Options: 1. I didn't leave the peas in the kitchen
 2. I didn't leave the peas in the sunroom
 3. I left the peas in the kitchen
 4. the peas are in the kitchen

  Explict answer: I didn't leave the peas in the kitchen

  Question: were you in the basement

  Answer: I was in the basement

  Options: 1. I was in the basement
 2. I was in the playroom
 3. I was not in the basement
 4. I was not in the crawlspace

  Explict answer: I was in the basement

  Question: was Emily there

  Answer: she was not in the playroom

  Options: 1. Emily was in the laundry
 2. Emily was not in the laundry
 3. I was not in the laundry
 4. I don't know

  Explict answer: Emily was not in the laundry

  Question: were you in the sunroom

  Answer: I was not in the sunroom

  Options: 1. I was in the sunroom
 2. I was in the den
 3. I was not in the den
 4. I was not in the sunroom

  Explict answer: I was not in the sunroom

  Question: did you leave the peas there

  Answer: I left them in the sunroom

  Options: 1. I didn't leave the peas in the kitchen
 2. I didn't"
"Question: are some of the cherries there
Answer: I put all of them there",all the cherries are in the den,"1. the cherries are not in the den
2. I am not sure if some of the cherries are in the den
3. all the cherries are in the den
4. some of the cherries are in the den","Question: were you in the basement

  Answer: I journeyed to the laundry

  Options: 1. I was in the basement
 2. I was in the playroom
 3. I was not in the basement
 4. I was not in the crawlspace

  Explict answer: I was not in the basement

  Question: was Emily there

  Answer: she was in the playroom

  Options: 1. Emily was in the laundry
 2. Emily was not in the laundry
 3. I was not in the laundry
 4. I don't know

  Explict answer: Emily was not in the laundry

  Question: were you in the sunroom

  Answer: I travelled to the kitchen

  Options: 1. I was in the sunroom
 2. I was in the den
 3. I was not in the den
 4. I was not in the sunroom

  Explict answer: I was not in the sunroom

  Question: did you leave the peas there

  Answer: I left them in the sunroom

  Options: 1. I didn't leave the peas in the kitchen
 2. I didn't leave the peas in the sunroom
 3. I leave the peas in the kitchen
 4. the peas are in the kitchen

  Explict answer: I didn't leave the peas in the kitchen

  Given this dialogue, choose the correct explicit answer option that captures the implicature of the answer.

  Question: are some of the cherries there
Answer: I put all of them there

  Options: 1. the cherries are not in the den
2. I am not sure if some of the cherries are in the den
3. all the cherries are in the den
4. some of the cherries are in the den

  The number of the option that captures the explicit answer: 
  1. 4
  2. 2
  3. 3
  4. 1

  The number of the option that captures the implicature of the answer: 
  1. 4
  2. 2
  3. 3
  4. 1

  Question: did you leave the peas in the kitchen
Answer: I left them in the sunroom

  Options: 1. I didn't leave the peas in the kitchen
2. I didn't leave the peas in the sunroom
3. I leave the peas in the kitchen
4. the peas are in the kitchen

  The number of the option that captures the explicit answer: 
  1. 4
  2. 2
  3. 3
  4. 1

  The number of the option that captures the implicature of the answer: 
  1. 4
  2. 2
  3. 3
  4. 1

  Question: were you in the basement
Answer: I was in the playroom

  Options: 1. I was in the basement
2. I was in the playroom
3. I was not in the basement
4. I was not in the playroom

  The number of the option that captures the explicit answer: 
  1. 4
  2. 2
  3. 3
  4. 1

  The number of the option that captures the implicature of the answer: 
  1. 4
  2. 2
  3. 3
  4. 1

  Question: did you leave the peas there
Answer: I left them in the sunroom

  Options: 1. I didn't leave the peas in the kitchen
2. I didn't leave the peas in the sunroom
3. I leave the peas in the kitchen
4. the peas are in the kitchen

  The number of the option that captures the explicit answer: 
  1. 4
  2. 2
  3. 3
  4. 1

  The number of the option that captures the implicature of the answer: 
  1. 4
  2. 2
  3. 3"
"Question: did you put the beans there
Answer: I put them in the cellar",I didn't put the beans in the den,"1. I put the cherries in the den
2. I didn't put the beans in the cellar
3. the beans are in the den
4. I didn't put the beans in the den","Question: were you in the basement

  Answer: I journeyed to the laundry

  Options: 1. I was in the basement
 2. I was in the playroom
 3. I was not in the basement
 4. I was not in the crawlspace

  Explict answer: I was not in the basement

  Question: was Emily there

  Answer: she was in the playroom

  Options: 1. Emily was in the laundry
 2. Emily was not in the laundry
 3. I was not in the laundry
 4. I don't know

  Explict answer: Emily was not in the laundry

  Question: were you in the sunroom

  Answer: I travelled to the kitchen

  Options: 1. I was in the sunroom
 2. I was in the den
 3. I was not in the den
 4. I was not in the sunroom

  Explict answer: I was not in the sunroom

  Question: did you leave the peas there

  Answer: I left them in the sunroom

  Options: 1. I didn't leave the peas in the kitchen
 2. I didn't leave the peas in the sunroom
 3. I leave the peas in the kitchen
 4. the peas are in the kitchen

  Explict answer: I didn't leave the peas in the kitchen

  Given this dialogue, choose the correct explicit answer option that captures the implicature of the answer.

  Question: did you put the beans there
Answer: I put them in the cellar

  Options: 1. I put the cherries in the den
2. I didn't put the beans in the cellar
3. the beans are in the den
4. I didn't put the beans in the den

  The number of the option that captures the explicit answer: 
  1

  Question: did you put the beans there
Answer: I put them in the cellar

  Options: 1. I put the cherries in the den
2. I didn't put the beans in the cellar
3. the beans are in the den
4. I didn't put the beans in the den

  The number of the option that captures the explicit answer: 
  2

  Question: did you put the beans there
Answer: I put them in the cellar

  Options: 1. I put the cherries in the den
2. I didn't put the beans in the cellar
3. the beans are in the den
4. I didn't put the beans in the den

  The number of the option that captures the explicit answer: 
  3

  Question: did you put the beans there
Answer: I put them in the cellar

  Options: 1. I put the cherries in the den
2. I didn't put the beans in the cellar
3. the beans are in the den
4. I didn't put the beans in the den

  The number of the option that captures the explicit answer: 
  4

  Question: did you put the beans there
Answer: I put them in the cellar

  Options: 1. I put the cherries in the den
2. I didn't put the beans in the cellar
3. the beans are in the den
4. I didn't put the beans in the den

  The number of the option that captures the explicit answer: 
  1

  Question: did you put the beans there
Answer: I put them in the cellar

  Options: 1. I put the cherries in the den
2. I didn't put the beans in the cellar
3. the beans are in the den
4. I didn't put the beans in the den

  The number of the option that captures the explicit answer: 
  1

  Question: did you put the beans there
Answer: I put them in the cellar

  Options: 1. I put the cherries in the den
2. I didn't put the beans in"
"Question: did Jayden place the lemons in the porch
Answer: he placed the grapes there",Jayden didn't place the lemons in the porch,"1. Jayden didn't place the grapes in the porch
2. the lemons are in the porch
3. I don't know if Jayden place the lemons in the porch
4. Jayden didn't place the lemons in the porch","Question: were you in the basement

  Answer: I journeyed to the laundry

  Options: 1. I was in the basement
 2. I was in the playroom
 3. I was not in the basement
 4. I was not in the crawlspace

  Explict answer: I was not in the basement

  Question: was Emily there

  Answer: she was in the playroom

  Options: 1. Emily was in the laundry
 2. Emily was not in the laundry
 3. I was not in the laundry
 4. I don't know

  Explict answer: Emily was not in the laundry

  Question: were you in the sunroom

  Answer: I travelled to the kitchen

  Options: 1. I was in the sunroom
 2. I was in the den
 3. I was not in the den
 4. I was not in the sunroom

  Explict answer: I was not in the sunroom

  Question: did you leave the peas there

  Answer: I left them in the sunroom

  Options: 1. I didn't leave the peas in the kitchen
 2. I didn't leave the peas in the sunroom
 3. I leave the peas in the kitchen
 4. the peas are in the kitchen

  Explict answer: I didn't leave the peas in the kitchen

  Given this dialogue, choose the correct explicit answer option that captures the implicature of the answer.

  Question: did Jayden place the lemons in the porch
Answer: he placed the grapes there

  Options: 1. Jayden didn't place the grapes in the porch
2. the lemons are in the porch
3. I don't know if Jayden place the lemons in the porch
4. Jayden didn't place the lemons in the porch

  The number of the option that captures the explicit answer: 
  1
  2
  3
  4

  Explict answer: Jayden didn't place the grapes in the porch

  Question: did Jayden place the lemons in the porch
Answer: he placed the grapes there

  Options: 1. Jayden didn't place the grapes in the porch
2. the lemons are in the porch
3. I don't know if Jayden place the lemons in the porch
4. Jayden didn't place the lemons in the porch

  The number of the option that captures the explicit answer: 
  1
  2
  3
  4

  Explict answer: Jayden didn't place the grapes in the porch

  Question: did Jayden place the lemons in the porch
Answer: he placed the grapes there

  Options: 1. Jayden didn't place the grapes in the porch
2. the lemons are in the porch
3. I don't know if Jayden place the lemons in the porch
4. Jayden didn't place the lemons in the porch

  The number of the option that captures the explicit answer: 
  1
  2
  3
  4

  Explict answer: Jayden didn't place the grapes in the porch

  Question: did Jayden place the lemons in the porch
Answer: he placed the grapes there

  Options: 1. Jayden didn't place the grapes in the porch
2. the lemons are in the porch
3. I don't know if Jayden place the lemons in the porch
4. Jayden didn't place the lemons in the porch

  The number of the option that captures the explicit answer: 
  1
  2
  3
  4

  Explict answer: Jayden didn't place the grapes in the porch

  Question: did Jayden place the lemons in the porch
Answer: he placed the grapes there

  Options: 1. Jayden didn't place the grapes in the porch
2. the lemons"
"Question: how many eggplants are there
Answer: there are at least three there",I am not sure how many eggplants are in the porch,"1. I am not sure how many eggplants are in the porch
2. three eggplants are in the porch
3. all of the eggplants are in the porch
4. four eggplants are in the porch","Question: were you in the basement

  Answer: I journeyed to the laundry

  Options: 1. I was in the basement
 2. I was in the playroom
 3. I was not in the basement
 4. I was not in the crawlspace

  Explict answer: I was not in the basement

  Question: was Emily there

  Answer: she was in the playroom

  Options: 1. Emily was in the laundry
 2. Emily was not in the laundry
 3. I was not in the laundry
 4. I don't know

  Explict answer: Emily was not in the laundry

  Question: were you in the sunroom

  Answer: I travelled to the kitchen

  Options: 1. I was in the sunroom
 2. I was in the den
 3. I was not in the den
 4. I was not in the sunroom

  Explict answer: I was not in the sunroom

  Question: did you leave the peas there

  Answer: I left them in the sunroom

  Options: 1. I didn't leave the peas in the kitchen
 2. I didn't leave the peas in the sunroom
 3. I leave the peas in the kitchen
 4. the peas are in the kitchen

  Explict answer: I didn't leave the peas in the kitchen

  Given this dialogue, choose the correct explicit answer option that captures the implicature of the answer.

  Question: how many eggplants are there
Answer: there are at least three there

  Options: 1. I am not sure how many eggplants are in the porch
2. three eggplants are in the porch
3. all of the eggplants are in the porch
4. four eggplants are in the porch

  The number of the option that captures the explicit answer: 
  1. 2
  2. 3
  3. 4
  4. 2

  Given this dialogue, choose the correct explicit answer option that captures the implicature of the answer.

  Question: how many eggplants are there
Answer: there are at least three there

  Options: 1. I am not sure how many eggplants are in the porch
2. three eggplants are in the porch
3. all of the eggplants are in the porch
4. four eggplants are in the porch

  The number of the option that captures the explicit answer: 
  1. 2
  2. 3
  3. 4
  4. 2

  Given this dialogue, choose the correct explicit answer option that captures the implicature of the answer.

  Question: how many eggplants are there
Answer: there are at least three there

  Options: 1. I am not sure how many eggplants are in the porch
2. three eggplants are in the porch
3. all of the eggplants are in the porch
4. four eggplants are in the porch

  The number of the option that captures the explicit answer: 
  1. 2
  2. 3
  3. 4
  4. 2

  Given this dialogue, choose the correct explicit answer option that captures the implicature of the answer.

  Question: how many eggplants are there
Answer: there are at least three there

  Options: 1. I am not sure how many eggplants are in the porch
2. three eggplants are in the porch
3. all of the eggplants are in the porch
4. four eggplants are in the porch

  The number of the option that captures the explicit answer: 
  1. 2
  2. 3
  3. 4
  4. 2

  Given this dialogue, choose the correct explicit answer option that captures the implicature of the answer.

  Question: how many eggplants are there
Answer: there are at least three there

  Options: 1. I am not sure how many eggplants are in the por"
"Question: did you leave them there
Answer: I didn't",I didn't leave the eggplants in the porch,"1. the eggplants are in the playroom
2. I leave the eggplants in the porch
3. the eggplants are not in the front_yard
4. I didn't leave the eggplants in the porch","Question: were you in the basement

  Answer: I journeyed to the laundry

  Options: 1. I was in the basement
 2. I was in the playroom
 3. I was not in the basement
 4. I was not in the crawlspace

  Explict answer: I was not in the basement

  Question: was Emily there

  Answer: she was in the playroom

  Options: 1. Emily was in the laundry
 2. Emily was not in the laundry
 3. I was not in the laundry
 4. I don't know

  Explict answer: Emily was not in the laundry

  Question: were you in the sunroom

  Answer: I travelled to the kitchen

  Options: 1. I was in the sunroom
 2. I was in the den
 3. I was not in the den
 4. I was not in the sunroom

  Explict answer: I was not in the sunroom

  Question: did you leave the peas there

  Answer: I left them in the sunroom

  Options: 1. I didn't leave the peas in the kitchen
 2. I didn't leave the peas in the sunroom
 3. I leave the peas in the kitchen
 4. the peas are in the kitchen

  Explict answer: I didn't leave the peas in the kitchen

  Given this dialogue, choose the correct explicit answer option that captures the implicature of the answer.

  Question: did you leave them there
Answer: I didn't

  Options: 1. the eggplants are in the playroom
2. I leave the eggplants in the porch
3. the eggplants are not in the front_yard
4. I didn't leave the eggplants in the porch

  The number of the option that captures the explicit answer: 
  1. 1
  2. 3
  3. 4
  4. 2

  Question: was the sunroom dark

  Answer: I was in the playroom

  Options: 1. the sunroom was dark
 2. I was not in the playroom
 3. the sunroom was not dark
 4. I was in the kitchen

  The number of the option that captures the explicit answer: 
  1. 3
  2. 2
  3. 2
  4. 1

  Question: did you leave them there
Answer: I didn't

  Options: 1. the eggplants are in the playroom
2. I leave the eggplants in the porch
3. the eggplants are not in the front_yard
4. I didn't leave the eggplants in the porch

  The number of the option that captures the explicit answer: 
  1. 1
  2. 3
  3. 4
  4. 2

  Question: was the sunroom dark

  Answer: I was in the playroom

  Options: 1. the sunroom was dark
 2. I was not in the playroom
 3. the sunroom was not dark
 4. I was in the kitchen

  The number of the option that captures the explicit answer: 
  1. 3
  2. 2
  3. 2
  4. 1

  Question: did you leave them there
Answer: I didn't

  Options: 1. the eggplants are in the playroom
2. I leave the eggplants in the porch
3. the eggplants are not in the front_yard
4. I didn't leave the eggplants in the porch

  The number of the option that captures the explicit answer: 
  1. 1
  2. 3
  3. 4
  4. 2

  Question: was the sunroom dark

  Answer: I was in the playroom

  Options: 1. the sunroom was dark
 2. I was not in the playroom
 3. the sunroom was not dark
 4. I was in the kitchen

 "
