sentence1,sentence2,actual_score,log_prob_score_7b,log_prob_score_7b_chat
A girl is styling her hair.,A girl is brushing her hair.,2.5,-2.2672951221466064,-3.8594565391540527
A group of men play soccer on the beach.,A group of boys are playing soccer on the beach.,3.6,-3.0959951877593994,-4.3595991134643555
One woman is measuring another woman's ankle.,A woman measures another woman's ankle.,5.0,-2.9136083126068115,-4.157613754272461
A man is cutting up a cucumber.,A man is slicing a cucumber.,4.2,-2.8516786098480225,-3.8039143085479736
A man is playing a harp.,A man is playing a keyboard.,1.5,-2.622898578643799,-4.437523365020752
A woman is cutting onions.,A woman is cutting tofu.,1.8,-3.0667550563812256,-5.218713760375977
A man is riding an electric bicycle.,A man is riding a bicycle.,3.5,-2.4437849521636963,-3.523301362991333
A man is playing the drums.,A man is playing the guitar.,2.2,-2.8052802085876465,-4.147456645965576
A man is playing guitar.,A lady is playing the guitar.,2.2,-2.823697328567505,-3.9973206520080566
A man is playing a guitar.,A man is playing a trumpet.,1.714,-2.6549010276794434,-4.112565040588379
A man is playing a guitar.,A man is playing a trumpet.,1.714,-2.6549010276794434,-4.112565040588379
A man is playing a guitar.,A man is playing a trumpet.,1.714,-2.6549010276794434,-4.112565040588379
A man is playing a guitar.,A man is playing a trumpet.,1.714,-2.6549010276794434,-4.112565040588379
A man is cutting an onion.,A man cuts an onion.,5.0,-3.0098204612731934,-4.466640472412109
A man is cycling.,A man is talking.,0.6,-2.8816490173339844,-4.767304420471191
A man is slicing open a fish.,A man is cutting up a fish.,4.4,-2.9019153118133545,-3.9731860160827637
A man is slicing a tomato.,A man is slicing a bun.,2.0,-2.750173807144165,-4.426028728485107
A man is playing a guitar.,A man is playing a keyboard.,1.8,-3.199241876602173,-5.206761360168457
A baby panda goes down a slide.,A panda slides down a slide.,4.4,-2.8103418350219727,-3.8061771392822266
A man is singing and playing a guitar.,A man is playing a guitar.,3.6,-2.8787500858306885,-4.239686965942383
A man attacks a woman.,A man slaps a woman.,3.6,-2.958256244659424,-4.421851634979248
A man is driving a car.,A man is riding a horse.,1.2,-2.9296343326568604,-4.816566467285156
A woman is cutting tofu.,A woman is cutting an onion.,2.4,-2.775475263595581,-4.37730598449707
The woman is styling her hair.,The woman is slicing herbs.,0.2,-2.857750654220581,-4.255846977233887
Two zebras play in an open field.,Two zebras are playing in a field.,4.2,-2.8864965438842773,-3.9006030559539795
A man is cutting a potato.,A man is slicing some potato.,4.4,-2.894728183746338,-3.9788031578063965
A man is slicing an onion.,A woman is slicing a pumpkin.,2.25,-2.6338765621185303,-3.7870538234710693
A  man is dancing.,A man and woman is dancing.,2.0,-2.719461441040039,-4.351518154144287
A man is riding a motorcycle.,A woman is riding a horse.,0.75,-2.4506568908691406,-3.99714732170105
A woman is slicing garlics.,A woman is slicing an onion.,2.2,-2.823643684387207,-4.5741448402404785
A man is speaking.,A man is cooking.,0.8,-2.9404163360595703,-5.040310859680176
A little boy is singing and playing a guitar.,A man is singing and playing the guitar.,2.2,-2.816983699798584,-4.287829399108887
A turtle is swimming in water.,A turtle is walking underwater.,3.2,-2.927996873855591,-4.337491989135742
A young woman is putting stickers all over her face.,A woman is applying stickers to her face.,4.8,-2.927886486053467,-4.156264781951904
A woman is wrapping tofu.,A woman is balling dough.,1.4,-3.039348840713501,-4.842529296875
A cat is eating some corn.,A cat is eating corn on the cob.,4.25,-2.596280097961426,-3.7683849334716797
A man is eating a food.,A man is eating a piece of bread.,3.4,-2.871201515197754,-4.304393291473389
A man is playing a guitar.,A man is eating pasta.,0.533,-2.518747329711914,-4.780215740203857
A man is kicking pots of water.,A man is picking flowers.,0.4,-2.845457077026367,-4.5398945808410645
A man is cutting a pipe with scissors.,A man is cutting carpet with a knife.,1.2,-2.8799407482147217,-5.180828094482422
A woman is dancing in the rain.,A woman dances in the rain out side.,5.0,-2.9528212547302246,-4.646612644195557
A woman is taking a bath.,A woman is riding a horse.,0.538,-2.8043153285980225,-5.011784553527832
A man mixes vegetables in a pot.,A person is stirring vegetables in a pot.,3.75,-2.4517457485198975,-3.540353775024414
A woman is talking on a cell phone.,A man and woman are talking on the phone.,3.0,-2.4932022094726562,-4.175434589385986
A man is playing a guitar.,A man is singing while playing the guitar.,3.6,-2.8912439346313477,-4.3618083000183105
A man is playing a guitar.,A man is driving a car.,0.5,-2.261564254760742,-4.379049301147461
A man is cutting apple by his hand.,A man is cutting carpet with a knife.,1.5,-2.632183790206909,-4.432050704956055
A man is opening a door.,A man is cutting an onion.,0.8,-2.9370789527893066,-5.304033279418945
A man is slicing a tomato.,A man is riding a horse.,0.8,-2.9509592056274414,-5.136569499969482
