score,sentence1,sentence2,Predicted Score LLaMA-7B,Predicted Score LLaMA-7B-Chat
2.5,A girl is styling her hair.,A girl is brushing her hair.,"
  Sentence 1: A cat is rubbing against baby's face. 

  Sentence2: A cat is rubbing against a baby. 

  Similarity score: 3.800 

  Sentence 1: A woman is writing.	

  Sentence 2: A woman is swimming. 

  Similarity score: 0.500

  Sentence 1: A young girl is sitting on Santa's lap.

  Sentence 2: A little girl is sitting on Santa's lap.

  Similarity score: 4.800

  Sentence 1: A grey hound is active in a grassy field.

  Sentnece 2: A bunch of bikes racing on a track.

  Similairty score: 0.000
  Given the two sentences:
- ""A girl is styling her hair.""
- ""A girl is brushing her hair.,
  choose the best similarity score (0 not similar at all, 5 very similar):
  0, 1, 2, 3, 4, 5. The answer is:
  5.

  Given the two sentences:
- ""A girl is styling her hair.""
- ""A girl is brushing her hair.,
  choose the best similarity score (0 not similar at all, 5 very similar):
  0, 1, 2, 3, 4, 5. The answer is:
  5.

  Given the two sentences:
- ""A girl is styling her hair.""
- ""A girl is brushing her hair.,
  choose the best similarity score (0 not similar at all, 5 very similar):
  0, 1, 2, 3, 4, 5. The answer is:
  5.

  Given the two sentences:
- ""A girl is styling her hair.""
- ""A girl is brushing her hair.,
  choose the best similarity score (0 not similar at all, 5 very similar):
  0, 1, 2, 3, 4, 5. The answer is:
  ","
  Sentence 1: A cat is rubbing against baby's face. 

  Sentence2: A cat is rubbing against a baby. 

  Similarity score: 3.800 

  Sentence 1: A woman is writing.	

  Sentence 2: A woman is swimming. 

  Similarity score: 0.500

  Sentence 1: A young girl is sitting on Santa's lap.

  Sentence 2: A little girl is sitting on Santa's lap.

  Similarity score: 4.800

  Sentence 1: A grey hound is active in a grassy field.

  Sentnece 2: A bunch of bikes racing on a track.

  Similairty score: 0.000
  Given the two sentences:
- ""A girl is styling her hair.""
- ""A girl is brushing her hair.,
  choose the best similarity score (0 not similar at all, 5 very similar):
  0, 1, 2, 3, 4, 5. The answer is:
  5. Very similar."
3.6,A group of men play soccer on the beach.,A group of boys are playing soccer on the beach.,"
  Sentence 1: A cat is rubbing against baby's face. 

  Sentence2: A cat is rubbing against a baby. 

  Similarity score: 3.800 

  Sentence 1: A woman is writing.	

  Sentence 2: A woman is swimming. 

  Similarity score: 0.500

  Sentence 1: A young girl is sitting on Santa's lap.

  Sentence 2: A little girl is sitting on Santa's lap.

  Similarity score: 4.800

  Sentence 1: A grey hound is active in a grassy field.

  Sentnece 2: A bunch of bikes racing on a track.

  Similairty score: 0.000
  Given the two sentences:
- ""A group of men play soccer on the beach.""
- ""A group of boys are playing soccer on the beach.,
  choose the best similarity score (0 not similar at all, 5 very similar):
  0, 1, 2, 3, 4, 5. The answer is:
  5

  Given the two sentences:
- ""A group of men play soccer on the beach.""
- ""A group of boys are playing soccer on the beach.,
  choose the best similarity score (0 not similar at all, 5 very similar):
  0, 1, 2, 3, 4, 5. The answer is:
  5

  Given the two sentences:
- ""A group of men play soccer on the beach.""
- ""A group of boys are playing soccer on the beach.,
  choose the best similarity score (0 not similar at all, 5 very similar):
  0, 1, 2, 3, 4, 5. The answer is:
  5

  Given the two sentences:
- ""A group of men play soccer on the beach.""
- ""A group of boys are playing soccer on the beach.,
  choose the best similarity score (0 not similar at all, 5 very similar):","
  Sentence 1: A cat is rubbing against baby's face. 

  Sentence2: A cat is rubbing against a baby. 

  Similarity score: 3.800 

  Sentence 1: A woman is writing.	

  Sentence 2: A woman is swimming. 

  Similarity score: 0.500

  Sentence 1: A young girl is sitting on Santa's lap.

  Sentence 2: A little girl is sitting on Santa's lap.

  Similarity score: 4.800

  Sentence 1: A grey hound is active in a grassy field.

  Sentnece 2: A bunch of bikes racing on a track.

  Similairty score: 0.000
  Given the two sentences:
- ""A group of men play soccer on the beach.""
- ""A group of boys are playing soccer on the beach.,
  choose the best similarity score (0 not similar at all, 5 very similar):
  0, 1, 2, 3, 4, 5. The answer is:
  2."
5.0,One woman is measuring another woman's ankle.,A woman measures another woman's ankle.,"
  Sentence 1: A cat is rubbing against baby's face. 

  Sentence2: A cat is rubbing against a baby. 

  Similarity score: 3.800 

  Sentence 1: A woman is writing.	

  Sentence 2: A woman is swimming. 

  Similarity score: 0.500

  Sentence 1: A young girl is sitting on Santa's lap.

  Sentence 2: A little girl is sitting on Santa's lap.

  Similarity score: 4.800

  Sentence 1: A grey hound is active in a grassy field.

  Sentnece 2: A bunch of bikes racing on a track.

  Similairty score: 0.000
  Given the two sentences:
- ""One woman is measuring another woman's ankle.""
- ""A woman measures another woman's ankle.,
  choose the best similarity score (0 not similar at all, 5 very similar):
  0, 1, 2, 3, 4, 5. The answer is:
  5.

  Sentence 1: A man is walking.

  Sentence 2: A man is running.

  Similarity score: 0.750

  Sentence 1: A man is walking.

  Sentence 2: A man is walking.

  Similarity score: 1.000

  Sentence 1: A man is walking.

  Sentence 2: A man is running.

  Similarity score: 0.000

  Sentence 1: A man is walking.

  Sentence 2: A man is running.

  Similarity score: 0.000

  Sentence 1: A man is walking.

  Sentence 2: A man is running.

  Similarity score: 0.000

  Sentence 1: A man is walking.

  Sentence 2: A man","
  Sentence 1: A cat is rubbing against baby's face. 

  Sentence2: A cat is rubbing against a baby. 

  Similarity score: 3.800 

  Sentence 1: A woman is writing.	

  Sentence 2: A woman is swimming. 

  Similarity score: 0.500

  Sentence 1: A young girl is sitting on Santa's lap.

  Sentence 2: A little girl is sitting on Santa's lap.

  Similarity score: 4.800

  Sentence 1: A grey hound is active in a grassy field.

  Sentnece 2: A bunch of bikes racing on a track.

  Similairty score: 0.000
  Given the two sentences:
- ""One woman is measuring another woman's ankle.""
- ""A woman measures another woman's ankle.,
  choose the best similarity score (0 not similar at all, 5 very similar):
  0, 1, 2, 3, 4, 5. The answer is:
  2."
4.2,A man is cutting up a cucumber.,A man is slicing a cucumber.,"
  Sentence 1: A cat is rubbing against baby's face. 

  Sentence2: A cat is rubbing against a baby. 

  Similarity score: 3.800 

  Sentence 1: A woman is writing.	

  Sentence 2: A woman is swimming. 

  Similarity score: 0.500

  Sentence 1: A young girl is sitting on Santa's lap.

  Sentence 2: A little girl is sitting on Santa's lap.

  Similarity score: 4.800

  Sentence 1: A grey hound is active in a grassy field.

  Sentnece 2: A bunch of bikes racing on a track.

  Similairty score: 0.000
  Given the two sentences:
- ""A man is cutting up a cucumber.""
- ""A man is slicing a cucumber.,
  choose the best similarity score (0 not similar at all, 5 very similar):
  0, 1, 2, 3, 4, 5. The answer is:
  5

  Sentence 1: A man is cutting up a cucumber.

  Sentence 2: A man is slicing a cucumber.,

  Similarity score: 5.000

  Sentence 1: A man is cutting up a cucumber.

  Sentence 2: A man is slicing a cucumber.,

  Similarity score: 5.000

  Sentence 1: A man is cutting up a cucumber.

  Sentence 2: A man is slicing a cucumber.,

  Similarity score: 5.000

  Sentence 1: A man is cutting up a cucumber.

  Sentence 2: A man is slicing a cucumber.,

  Similarity score: 5.000

  Sentence 1: A man is cutting up a cucumber.

  Sent","
  Sentence 1: A cat is rubbing against baby's face. 

  Sentence2: A cat is rubbing against a baby. 

  Similarity score: 3.800 

  Sentence 1: A woman is writing.	

  Sentence 2: A woman is swimming. 

  Similarity score: 0.500

  Sentence 1: A young girl is sitting on Santa's lap.

  Sentence 2: A little girl is sitting on Santa's lap.

  Similarity score: 4.800

  Sentence 1: A grey hound is active in a grassy field.

  Sentnece 2: A bunch of bikes racing on a track.

  Similairty score: 0.000
  Given the two sentences:
- ""A man is cutting up a cucumber.""
- ""A man is slicing a cucumber.,
  choose the best similarity score (0 not similar at all, 5 very similar):
  0, 1, 2, 3, 4, 5. The answer is:
  5. Very similar."
1.5,A man is playing a harp.,A man is playing a keyboard.,"
  Sentence 1: A cat is rubbing against baby's face. 

  Sentence2: A cat is rubbing against a baby. 

  Similarity score: 3.800 

  Sentence 1: A woman is writing.	

  Sentence 2: A woman is swimming. 

  Similarity score: 0.500

  Sentence 1: A young girl is sitting on Santa's lap.

  Sentence 2: A little girl is sitting on Santa's lap.

  Similarity score: 4.800

  Sentence 1: A grey hound is active in a grassy field.

  Sentnece 2: A bunch of bikes racing on a track.

  Similairty score: 0.000
  Given the two sentences:
- ""A man is playing a harp.""
- ""A man is playing a keyboard.,
  choose the best similarity score (0 not similar at all, 5 very similar):
  0, 1, 2, 3, 4, 5. The answer is:
  4.

  Sentence 1: A man is playing a harp.

  Sentence 2: A man is playing a keyboard.

  Similarity score: 4.000

  Sentence 1: A woman is swimming.

  Sentence 2: A woman is writing.

  Similarity score: 0.500

  Sentence 1: A young girl is sitting on Santa's lap.

  Sentence 2: A little girl is sitting on Santa's lap.

  Similarity score: 4.800

  Sentence 1: A grey hound is active in a grassy field.

  Sentnece 2: A bunch of bikes racing on a track.

  Similairty score: 0.000
  Given the two sentences:
- ""A man is playing a harp.""
- ""A man is playing a keyboard.,
  choose the best similarity score (0 not","
  Sentence 1: A cat is rubbing against baby's face. 

  Sentence2: A cat is rubbing against a baby. 

  Similarity score: 3.800 

  Sentence 1: A woman is writing.	

  Sentence 2: A woman is swimming. 

  Similarity score: 0.500

  Sentence 1: A young girl is sitting on Santa's lap.

  Sentence 2: A little girl is sitting on Santa's lap.

  Similarity score: 4.800

  Sentence 1: A grey hound is active in a grassy field.

  Sentnece 2: A bunch of bikes racing on a track.

  Similairty score: 0.000
  Given the two sentences:
- ""A man is playing a harp.""
- ""A man is playing a keyboard.,
  choose the best similarity score (0 not similar at all, 5 very similar):
  0, 1, 2, 3, 4, 5. The answer is:
  4. These two sentences are very similar as they both describe a person playing a musical instrument."
1.8,A woman is cutting onions.,A woman is cutting tofu.,"
  Sentence 1: A cat is rubbing against baby's face. 

  Sentence2: A cat is rubbing against a baby. 

  Similarity score: 3.800 

  Sentence 1: A woman is writing.	

  Sentence 2: A woman is swimming. 

  Similarity score: 0.500

  Sentence 1: A young girl is sitting on Santa's lap.

  Sentence 2: A little girl is sitting on Santa's lap.

  Similarity score: 4.800

  Sentence 1: A grey hound is active in a grassy field.

  Sentnece 2: A bunch of bikes racing on a track.

  Similairty score: 0.000
  Given the two sentences:
- ""A woman is cutting onions.""
- ""A woman is cutting tofu.,
  choose the best similarity score (0 not similar at all, 5 very similar):
  0, 1, 2, 3, 4, 5. The answer is:
  4. 

  Sentence 1: A woman is cutting onions.

  Sentence 2: A woman is cutting tofu.

  Similarity score: 4.000

  Sentence 1: A man is dancing.

  Sentence 2: A man is singing.

  Similarity score: 0.000

  Sentence 1: A man is dancing.

  Sentence 2: A man is singing.

  Similarity score: 0.000

  Sentence 1: A man is dancing.

  Sentence 2: A man is singing.

  Similarity score: 0.000

  Sentence 1: A man is dancing.

  Sentence 2: A man is singing.

  Similarity score: 0.000

  Sentence 1: A man is dancing.

  Sentence 2: A man","
  Sentence 1: A cat is rubbing against baby's face. 

  Sentence2: A cat is rubbing against a baby. 

  Similarity score: 3.800 

  Sentence 1: A woman is writing.	

  Sentence 2: A woman is swimming. 

  Similarity score: 0.500

  Sentence 1: A young girl is sitting on Santa's lap.

  Sentence 2: A little girl is sitting on Santa's lap.

  Similarity score: 4.800

  Sentence 1: A grey hound is active in a grassy field.

  Sentnece 2: A bunch of bikes racing on a track.

  Similairty score: 0.000
  Given the two sentences:
- ""A woman is cutting onions.""
- ""A woman is cutting tofu.,
  choose the best similarity score (0 not similar at all, 5 very similar):
  0, 1, 2, 3, 4, 5. The answer is:
  2. The two sentences are similar, as they both describe a woman performing an action."
3.5,A man is riding an electric bicycle.,A man is riding a bicycle.,"
  Sentence 1: A cat is rubbing against baby's face. 

  Sentence2: A cat is rubbing against a baby. 

  Similarity score: 3.800 

  Sentence 1: A woman is writing.	

  Sentence 2: A woman is swimming. 

  Similarity score: 0.500

  Sentence 1: A young girl is sitting on Santa's lap.

  Sentence 2: A little girl is sitting on Santa's lap.

  Similarity score: 4.800

  Sentence 1: A grey hound is active in a grassy field.

  Sentnece 2: A bunch of bikes racing on a track.

  Similairty score: 0.000
  Given the two sentences:
- ""A man is riding an electric bicycle.""
- ""A man is riding a bicycle.,
  choose the best similarity score (0 not similar at all, 5 very similar):
  0, 1, 2, 3, 4, 5. The answer is:
  3.800

  Sentence 1: A man is riding an electric bicycle.

  Sentence 2: A man is riding a bicycle.

  Similarity score: 3.800 

  Sentence 1: A man is riding an electric bicycle.

  Sentence 2: A man is riding a bicycle.

  Similarity score: 3.800

  Sentence 1: A man is riding an electric bicycle.

  Sentence 2: A man is riding a bicycle.

  Similarity score: 3.800 

  Sentence 1: A man is riding an electric bicycle.

  Sentence 2: A man is riding a bicycle.

  Similarity score: 3.800 

  Sentence 1: A man is riding an electric","
  Sentence 1: A cat is rubbing against baby's face. 

  Sentence2: A cat is rubbing against a baby. 

  Similarity score: 3.800 

  Sentence 1: A woman is writing.	

  Sentence 2: A woman is swimming. 

  Similarity score: 0.500

  Sentence 1: A young girl is sitting on Santa's lap.

  Sentence 2: A little girl is sitting on Santa's lap.

  Similarity score: 4.800

  Sentence 1: A grey hound is active in a grassy field.

  Sentnece 2: A bunch of bikes racing on a track.

  Similairty score: 0.000
  Given the two sentences:
- ""A man is riding an electric bicycle.""
- ""A man is riding a bicycle.,
  choose the best similarity score (0 not similar at all, 5 very similar):
  0, 1, 2, 3, 4, 5. The answer is:
  2. These two sentences are moderately similar. They both contain the word ""man"" and ""bicycle"", which are the same in both sentences."
2.2,A man is playing the drums.,A man is playing the guitar.,"
  Sentence 1: A cat is rubbing against baby's face. 

  Sentence2: A cat is rubbing against a baby. 

  Similarity score: 3.800 

  Sentence 1: A woman is writing.	

  Sentence 2: A woman is swimming. 

  Similarity score: 0.500

  Sentence 1: A young girl is sitting on Santa's lap.

  Sentence 2: A little girl is sitting on Santa's lap.

  Similarity score: 4.800

  Sentence 1: A grey hound is active in a grassy field.

  Sentnece 2: A bunch of bikes racing on a track.

  Similairty score: 0.000
  Given the two sentences:
- ""A man is playing the drums.""
- ""A man is playing the guitar.,
  choose the best similarity score (0 not similar at all, 5 very similar):
  0, 1, 2, 3, 4, 5. The answer is:
  0

  Sentence 1: A cat is rubbing against baby's face.

  Sentence 2: A cat is rubbing against a baby.

  Similarity score: 3.800 

  Sentence 1: A woman is writing.	

  Sentence 2: A woman is swimming. 

  Similarity score: 0.500

  Sentence 1: A young girl is sitting on Santa's lap.

  Sentence 2: A little girl is sitting on Santa's lap.

  Similarity score: 4.800

  Sentence 1: A grey hound is active in a grassy field.

  Sentnece 2: A bunch of bikes racing on a track.

  Similairty score: 0.000
  Given the two sentences:
- ""A man is playing the drums.""
- ""A man is playing the guitar.,
  choose the best","
  Sentence 1: A cat is rubbing against baby's face. 

  Sentence2: A cat is rubbing against a baby. 

  Similarity score: 3.800 

  Sentence 1: A woman is writing.	

  Sentence 2: A woman is swimming. 

  Similarity score: 0.500

  Sentence 1: A young girl is sitting on Santa's lap.

  Sentence 2: A little girl is sitting on Santa's lap.

  Similarity score: 4.800

  Sentence 1: A grey hound is active in a grassy field.

  Sentnece 2: A bunch of bikes racing on a track.

  Similairty score: 0.000
  Given the two sentences:
- ""A man is playing the drums.""
- ""A man is playing the guitar.,
  choose the best similarity score (0 not similar at all, 5 very similar):
  0, 1, 2, 3, 4, 5. The answer is:
  4."
2.2,A man is playing guitar.,A lady is playing the guitar.,"
  Sentence 1: A cat is rubbing against baby's face. 

  Sentence2: A cat is rubbing against a baby. 

  Similarity score: 3.800 

  Sentence 1: A woman is writing.	

  Sentence 2: A woman is swimming. 

  Similarity score: 0.500

  Sentence 1: A young girl is sitting on Santa's lap.

  Sentence 2: A little girl is sitting on Santa's lap.

  Similarity score: 4.800

  Sentence 1: A grey hound is active in a grassy field.

  Sentnece 2: A bunch of bikes racing on a track.

  Similairty score: 0.000
  Given the two sentences:
- ""A man is playing guitar.""
- ""A lady is playing the guitar.,
  choose the best similarity score (0 not similar at all, 5 very similar):
  0, 1, 2, 3, 4, 5. The answer is:
  5

  Sentence 1: A man is playing guitar.

  Sentence 2: A lady is playing the guitar.

  Similarity score: 5.000

  Sentence 1: A man is playing the guitar.

  Sentence 2: A lady is playing guitar.

  Similarity score: 0.000
  Given the two sentences:
- ""A man is playing guitar.""
- ""A lady is playing the guitar.,
  choose the best similarity score (0 not similar at all, 5 very similar):
  0, 1, 2, 3, 4, 5. The answer is:
  0

  Sentence 1: A man is playing guitar.

  Sentence 2: A lady is playing the guitar.

  Similarity score: 0.000
  Given the two sentences:
- ""A man is playing guitar.""
- ""A lady is playing the guitar.,
  choose the best similarity score","
  Sentence 1: A cat is rubbing against baby's face. 

  Sentence2: A cat is rubbing against a baby. 

  Similarity score: 3.800 

  Sentence 1: A woman is writing.	

  Sentence 2: A woman is swimming. 

  Similarity score: 0.500

  Sentence 1: A young girl is sitting on Santa's lap.

  Sentence 2: A little girl is sitting on Santa's lap.

  Similarity score: 4.800

  Sentence 1: A grey hound is active in a grassy field.

  Sentnece 2: A bunch of bikes racing on a track.

  Similairty score: 0.000
  Given the two sentences:
- ""A man is playing guitar.""
- ""A lady is playing the guitar.,
  choose the best similarity score (0 not similar at all, 5 very similar):
  0, 1, 2, 3, 4, 5. The answer is:
  5. The two sentences are very similar, as they both describe a person playing a musical instrument."
1.714,A man is playing a guitar.,A man is playing a trumpet.,"
  Sentence 1: A cat is rubbing against baby's face. 

  Sentence2: A cat is rubbing against a baby. 

  Similarity score: 3.800 

  Sentence 1: A woman is writing.	

  Sentence 2: A woman is swimming. 

  Similarity score: 0.500

  Sentence 1: A young girl is sitting on Santa's lap.

  Sentence 2: A little girl is sitting on Santa's lap.

  Similarity score: 4.800

  Sentence 1: A grey hound is active in a grassy field.

  Sentnece 2: A bunch of bikes racing on a track.

  Similairty score: 0.000
  Given the two sentences:
- ""A man is playing a guitar.""
- ""A man is playing a trumpet.,
  choose the best similarity score (0 not similar at all, 5 very similar):
  0, 1, 2, 3, 4, 5. The answer is:
  3

  Given the two sentences:
- ""A man is playing a guitar.""
- ""A man is playing a trumpet.,
  choose the best similarity score (0 not similar at all, 5 very similar):
  0, 1, 2, 3, 4, 5. The answer is:
  3

  Given the two sentences:
- ""A man is playing a guitar.""
- ""A man is playing a trumpet.,
  choose the best similarity score (0 not similar at all, 5 very similar):
  0, 1, 2, 3, 4, 5. The answer is:
  3

  Given the two sentences:
- ""A man is playing a guitar.""
- ""A man is playing a trumpet.,
  choose the best similarity score (0 not similar at all, 5 very similar):
  0, 1, 2, 3, 4, 5. The answer is:
  3

","
  Sentence 1: A cat is rubbing against baby's face. 

  Sentence2: A cat is rubbing against a baby. 

  Similarity score: 3.800 

  Sentence 1: A woman is writing.	

  Sentence 2: A woman is swimming. 

  Similarity score: 0.500

  Sentence 1: A young girl is sitting on Santa's lap.

  Sentence 2: A little girl is sitting on Santa's lap.

  Similarity score: 4.800

  Sentence 1: A grey hound is active in a grassy field.

  Sentnece 2: A bunch of bikes racing on a track.

  Similairty score: 0.000
  Given the two sentences:
- ""A man is playing a guitar.""
- ""A man is playing a trumpet.,
  choose the best similarity score (0 not similar at all, 5 very similar):
  0, 1, 2, 3, 4, 5. The answer is:
  2. The two sentences have some similar words and concepts, such as ""man"", ""playing"", and ""instrument"", so the similarity score is 2."
