prompt,entailment/non-entailment,log_prob_entailment,log_prob_nonentailment,correct_prediction
"As a result, peptic ulcer disease has been transformed from a chronic, frequently disabling condition to one that can be cured by a short regimen of antibiotics and other medicines. Antibiotics are used against peptic ulcer.",entailment,tensor(-9.4076),tensor(-10.1796),True
Ssangyong Motor was taken over by creditors after it collapsed under heavy debts during the 1997-98 Asian financial crisis. Asian financial crisis takes over Ssangyong Motor,non-entailment,tensor(-8.9789),tensor(-5.9494),True
"In support of the Earth Island Institute rebuttal, Greenpeace founder Don White made the following - unfortunately prophetic - public statement on 8/18/93. Don White is the founder of Greenpeace.",entailment,tensor(-9.7444),tensor(-7.4478),False
Hadley said Jordan was chosen as the site of the meeting between Bush and al-Maliki because of its support for the unity government in Iraq and the fact that Bush would be in the region. Bush will meet al-Maliki in Hadley.,non-entailment,tensor(-8.3659),tensor(-6.5667),True
"A senior coalition official in Iraq said the body, which was found by U.S. military police west of Baghdad, appeared to have been thrown from a vehicle. A body has been found by U. S. military police.",entailment,tensor(-8.3279),tensor(-7.6742),False
"The Massachusetts Supreme Judicial Court has cleared the way for lesbian and gay couples in the state to marry, ruling that government attorneys ""failed to identify any constitutionally adequate reason"" to deny them the right. U.S. Supreme Court in favor of same-sex marriage",entailment,tensor(-9.5511),tensor(-5.5901),False
"Ahern, who was travelling to Tokyo for an EU-Japan summit yesterday, will consult with other EU leaders by telephone later this week in an effort to find an agreed candidate. A summit between Europe and Japan is taking place in the Japanise capital.",entailment,tensor(-9.8085),tensor(-7.4127),False
"A closely divided U.S. Supreme Court said on Thursday its 2002 ruling that juries and not judges must impose a death sentence applies only to future cases, a decision that may affect more than 100 death row inmates. The Supreme Court decided that only judges can impose the death sentence.",non-entailment,tensor(-9.2145),tensor(-6.1784),True
"Fujimori charged that on January 26, 1995, Ecuador fired the first shot, an allegation denied by Ecuador's leader, Sixto Duran-Ballen. Predictably, each side blamed the other for starting the 1995 conflict, just as each pointed the finger of guilt to the other for provoking the border war of 1941, when Peru took most of the 120,000 square miles in contention between the two countries. President Fujimori was re-elected in 1995.",non-entailment,tensor(-10.2204),tensor(-7.3122),True
Four days of talks got underway with the US announcing the first significant overture to North Korea since George W Bush took office three years ago. George W. Bush entered the US presidency 3 years ago.,entailment,tensor(-9.6294),tensor(-7.4239),False
Quebec woman and her mother accused of plotting to kill a four-year-old girl. Quebec woman murdered a four-year-old girl.,non-entailment,tensor(-9.4600),tensor(-6.9556),True
"Sheriff's officials said a robot could be put to use in Ventura County, where the bomb squad has responded to more than 40 calls this year. Police use robots for bomb-handling.",entailment,tensor(-9.7250),tensor(-7.1357),False
