prompt,correct,log_prob_correct,incorrect,log_prob_incorrect,correct_prediction
The woman filed a restraining order against the man.What is the cause of this?,The man stalked her.,tensor(-1.7245),The man called her.,tensor(-3.1182),True
I drank from the water fountain.What is the cause of this?,I was thirsty.,tensor(-2.0169),I felt nauseous.,tensor(-2.4345),True
The authorities vowed to protect the identity of the crime victim.What is the effect of this?,They withheld the victim's name from the public.,tensor(-1.7392),The victim struggled to recall details about the crime.,tensor(-2.7729),True
My feet were blistered.What is the cause of this?,I went hiking.,tensor(-2.2803),I went swimming.,tensor(-3.0788),True
I burst into a fit of laughter.What is the effect of this?,My eyes welled up with tears.,tensor(-1.8140),My teeth began to chatter.,tensor(-2.5233),True
The bird couldn't fly.What is the cause of this?,It injured its wing.,tensor(-3.4337),It migrated for the winter.,tensor(-3.7197),True
The boy got a black eye.What is the cause of this?,The bully punched the boy.,tensor(-2.1886),The bully mocked the boy.,tensor(-3.3051),True
The woman received a diploma.What is the cause of this?,She graduated from college.,tensor(-2.1626),She enrolled in college.,tensor(-3.3086),True
The clouds looked dark.What is the effect of this?,I brought my umbrella to work.,tensor(-2.4616),I brought my laptop to work.,tensor(-3.9426),True
The truck crashed into the motorcycle on the bridge.What is the effect of this?,The motorcyclist died.,tensor(-1.2838),The bridge collapsed.,tensor(-1.9845),True
The cowgirl threw her lasso towards the horse.What is the effect of this?,The lasso grabbed onto the horse.,tensor(-2.2711),The horse trotted into the barn.,tensor(-2.7666),True
The police officer pulled over the celebrity.What is the effect of this?,The celebrity offered the officer a bribe.,tensor(-1.8266),The celebrity sued the police officer.,tensor(-1.6664),False
A water pipe in the house burst.What is the cause of this?,The pipe froze.,tensor(-3.4332),The water was unsanitary.,tensor(-3.7461),True
The patient was dehydrated.What is the effect of this?,The nurse gave him an IV.,tensor(-2.9477),The nurse tested his reflexes.,tensor(-3.5823),True
The friends' dinnertime conversation turned to politics.What is the effect of this?,A debate erupted.,tensor(-2.9182),The conversation quieted down.,tensor(-3.2240),True
Our group's conversation gradually lulled to silence.What is the effect of this?,I felt awkward.,tensor(-2.5809),I became enraged.,tensor(-4.1027),True
