premise,question,choice1,choice2,label,generated_response
The woman filed a restraining order against the man.,cause,The man called her.,The man stalked her.,1,"You are given the premise and two sentences with it. Determine which sentence is a cause/effect for the premise.
    If the answer is the first sentence, answer with 0. If the answer is the second sentence, answer with 1.

    Premise: The ocean tide was dangerous.

    To determine: effect 

    Sentences: The swimmers put on more sunscreen. The swimmers returned towards the shore.

    Answer: 1

    Premise: I put shoes on.

    To determine: cause
    Sentences: The floor contained broken glass. The paint on the walls was wet.

    Answer: 0

    Premise: The flashlight was dead.

    To determine: effect

    Sentences: I took it apart. I replaced the batteries.

    Answer: 1

    Premise: The boy felt homesick.

    To determine: cause

    Sentences: He went away to camp. He bickered with his sister.

    Answer: 0

    Premise: The woman filed a restraining order against the man..

    To determine: cause.

    Sentences: The man called her. The man stalked her.

    Answer:
    0"
I drank from the water fountain.,cause,I was thirsty.,I felt nauseous.,0,"You are given the premise and two sentences with it. Determine which sentence is a cause/effect for the premise.
    If the answer is the first sentence, answer with 0. If the answer is the second sentence, answer with 1.

    Premise: The ocean tide was dangerous.

    To determine: effect 

    Sentences: The swimmers put on more sunscreen. The swimmers returned towards the shore.

    Answer: 1

    Premise: I put shoes on.

    To determine: cause
    Sentences: The floor contained broken glass. The paint on the walls was wet.

    Answer: 0

    Premise: The flashlight was dead.

    To determine: effect

    Sentences: I took it apart. I replaced the batteries.

    Answer: 1

    Premise: The boy felt homesick.

    To determine: cause

    Sentences: He went away to camp. He bickered with his sister.

    Answer: 0

    Premise: I drank from the water fountain..

    To determine: cause.

    Sentences: I was thirsty. I felt nauseous.

    Answer:
    0"
The authorities vowed to protect the identity of the crime victim.,effect,The victim struggled to recall details about the crime.,They withheld the victim's name from the public.,1,"You are given the premise and two sentences with it. Determine which sentence is a cause/effect for the premise.
    If the answer is the first sentence, answer with 0. If the answer is the second sentence, answer with 1.

    Premise: The ocean tide was dangerous.

    To determine: effect 

    Sentences: The swimmers put on more sunscreen. The swimmers returned towards the shore.

    Answer: 1

    Premise: I put shoes on.

    To determine: cause
    Sentences: The floor contained broken glass. The paint on the walls was wet.

    Answer: 0

    Premise: The flashlight was dead.

    To determine: effect

    Sentences: I took it apart. I replaced the batteries.

    Answer: 1

    Premise: The boy felt homesick.

    To determine: cause

    Sentences: He went away to camp. He bickered with his sister.

    Answer: 0

    Premise: The authorities vowed to protect the identity of the crime victim..

    To determine: effect.

    Sentences: The victim struggled to recall details about the crime. They withheld the victim's name from the public.

    Answer:
    0"
My feet were blistered.,cause,I went hiking.,I went swimming.,0,"You are given the premise and two sentences with it. Determine which sentence is a cause/effect for the premise.
    If the answer is the first sentence, answer with 0. If the answer is the second sentence, answer with 1.

    Premise: The ocean tide was dangerous.

    To determine: effect 

    Sentences: The swimmers put on more sunscreen. The swimmers returned towards the shore.

    Answer: 1

    Premise: I put shoes on.

    To determine: cause
    Sentences: The floor contained broken glass. The paint on the walls was wet.

    Answer: 0

    Premise: The flashlight was dead.

    To determine: effect

    Sentences: I took it apart. I replaced the batteries.

    Answer: 1

    Premise: The boy felt homesick.

    To determine: cause

    Sentences: He went away to camp. He bickered with his sister.

    Answer: 0

    Premise: My feet were blistered..

    To determine: cause.

    Sentences: I went hiking. I went swimming.

    Answer:
    1"
I burst into a fit of laughter.,effect,My teeth began to chatter.,My eyes welled up with tears.,1,"You are given the premise and two sentences with it. Determine which sentence is a cause/effect for the premise.
    If the answer is the first sentence, answer with 0. If the answer is the second sentence, answer with 1.

    Premise: The ocean tide was dangerous.

    To determine: effect 

    Sentences: The swimmers put on more sunscreen. The swimmers returned towards the shore.

    Answer: 1

    Premise: I put shoes on.

    To determine: cause
    Sentences: The floor contained broken glass. The paint on the walls was wet.

    Answer: 0

    Premise: The flashlight was dead.

    To determine: effect

    Sentences: I took it apart. I replaced the batteries.

    Answer: 1

    Premise: The boy felt homesick.

    To determine: cause

    Sentences: He went away to camp. He bickered with his sister.

    Answer: 0

    Premise: I burst into a fit of laughter..

    To determine: effect.

    Sentences: My teeth began to chatter. My eyes welled up with tears.

    Answer:
    0"
The bird couldn't fly.,cause,It migrated for the winter.,It injured its wing.,1,"You are given the premise and two sentences with it. Determine which sentence is a cause/effect for the premise.
    If the answer is the first sentence, answer with 0. If the answer is the second sentence, answer with 1.

    Premise: The ocean tide was dangerous.

    To determine: effect 

    Sentences: The swimmers put on more sunscreen. The swimmers returned towards the shore.

    Answer: 1

    Premise: I put shoes on.

    To determine: cause
    Sentences: The floor contained broken glass. The paint on the walls was wet.

    Answer: 0

    Premise: The flashlight was dead.

    To determine: effect

    Sentences: I took it apart. I replaced the batteries.

    Answer: 1

    Premise: The boy felt homesick.

    To determine: cause

    Sentences: He went away to camp. He bickered with his sister.

    Answer: 0

    Premise: The bird couldn't fly..

    To determine: cause.

    Sentences: It migrated for the winter. It injured its wing.

    Answer:
    0"
The boy got a black eye.,cause,The bully mocked the boy.,The bully punched the boy.,1,"You are given the premise and two sentences with it. Determine which sentence is a cause/effect for the premise.
    If the answer is the first sentence, answer with 0. If the answer is the second sentence, answer with 1.

    Premise: The ocean tide was dangerous.

    To determine: effect 

    Sentences: The swimmers put on more sunscreen. The swimmers returned towards the shore.

    Answer: 1

    Premise: I put shoes on.

    To determine: cause
    Sentences: The floor contained broken glass. The paint on the walls was wet.

    Answer: 0

    Premise: The flashlight was dead.

    To determine: effect

    Sentences: I took it apart. I replaced the batteries.

    Answer: 1

    Premise: The boy felt homesick.

    To determine: cause

    Sentences: He went away to camp. He bickered with his sister.

    Answer: 0

    Premise: The boy got a black eye..

    To determine: cause.

    Sentences: The bully mocked the boy. The bully punched the boy.

    Answer:
    0"
The woman received a diploma.,cause,She enrolled in college.,She graduated from college.,1,"You are given the premise and two sentences with it. Determine which sentence is a cause/effect for the premise.
    If the answer is the first sentence, answer with 0. If the answer is the second sentence, answer with 1.

    Premise: The ocean tide was dangerous.

    To determine: effect 

    Sentences: The swimmers put on more sunscreen. The swimmers returned towards the shore.

    Answer: 1

    Premise: I put shoes on.

    To determine: cause
    Sentences: The floor contained broken glass. The paint on the walls was wet.

    Answer: 0

    Premise: The flashlight was dead.

    To determine: effect

    Sentences: I took it apart. I replaced the batteries.

    Answer: 1

    Premise: The boy felt homesick.

    To determine: cause

    Sentences: He went away to camp. He bickered with his sister.

    Answer: 0

    Premise: The woman received a diploma..

    To determine: cause.

    Sentences: She enrolled in college. She graduated from college.

    Answer:
    0"
The clouds looked dark.,effect,I brought my laptop to work.,I brought my umbrella to work.,1,"You are given the premise and two sentences with it. Determine which sentence is a cause/effect for the premise.
    If the answer is the first sentence, answer with 0. If the answer is the second sentence, answer with 1.

    Premise: The ocean tide was dangerous.

    To determine: effect 

    Sentences: The swimmers put on more sunscreen. The swimmers returned towards the shore.

    Answer: 1

    Premise: I put shoes on.

    To determine: cause
    Sentences: The floor contained broken glass. The paint on the walls was wet.

    Answer: 0

    Premise: The flashlight was dead.

    To determine: effect

    Sentences: I took it apart. I replaced the batteries.

    Answer: 1

    Premise: The boy felt homesick.

    To determine: cause

    Sentences: He went away to camp. He bickered with his sister.

    Answer: 0

    Premise: The clouds looked dark..

    To determine: effect.

    Sentences: I brought my laptop to work. I brought my umbrella to work.

    Answer:
    0"
The truck crashed into the motorcycle on the bridge.,effect,The motorcyclist died.,The bridge collapsed.,0,"You are given the premise and two sentences with it. Determine which sentence is a cause/effect for the premise.
    If the answer is the first sentence, answer with 0. If the answer is the second sentence, answer with 1.

    Premise: The ocean tide was dangerous.

    To determine: effect 

    Sentences: The swimmers put on more sunscreen. The swimmers returned towards the shore.

    Answer: 1

    Premise: I put shoes on.

    To determine: cause
    Sentences: The floor contained broken glass. The paint on the walls was wet.

    Answer: 0

    Premise: The flashlight was dead.

    To determine: effect

    Sentences: I took it apart. I replaced the batteries.

    Answer: 1

    Premise: The boy felt homesick.

    To determine: cause

    Sentences: He went away to camp. He bickered with his sister.

    Answer: 0

    Premise: The truck crashed into the motorcycle on the bridge..

    To determine: effect.

    Sentences: The motorcyclist died. The bridge collapsed.

    Answer:
    0"
