,premise,hypothesis,trigger,trigger1,trigger2,presupposition,gold_label,UID,pairID,paradigmID,prompt,entailment_prob,neutral_prob,contradiction_prob,prediction,entailment_prob_chat,neutral_prob_chat,contradiction_prob_chat,prediction_chat
0,It might be Margaret that buys that box.,Someone buys that box,modal,Not_In_Example,Not_In_Example,positive,0,cleft_existence,598e,31,It might be Margaret that buys that box. Someone buys that box,tensor(-10.4298),tensor(-9.1940),tensor(-10.0432),1,tensor(-10.4730),tensor(-8.7219),tensor(-9.8824),1
1,It might be Suzanne that is persuading Helen's boss to help Kenneth.,It is Suzanne that is persuading Helen's boss to help Kenneth.,Not_In_Example,modal,unembedded,Not_In_Example,1,cleft_existence,1157n,60,It might be Suzanne that is persuading Helen's boss to help Kenneth. It is Suzanne that is persuading Helen's boss to help Kenneth.,tensor(-11.0529),tensor(-10.4328),tensor(-10.9177),1,tensor(-12.2975),tensor(-10.5414),tensor(-11.6619),1
2,It might be April who had criticized the book.,No one had criticized the book,modal,Not_In_Example,Not_In_Example,negated,2,cleft_existence,1834c,96,It might be April who had criticized the book. No one had criticized the book,tensor(-9.7601),tensor(-9.8008),tensor(-10.4136),0,tensor(-9.1084),tensor(-7.9565),tensor(-9.6809),1
3,It might be the guest who has predicted Dawn to scan the newspaper article.,Someone has predicted Dawn to scan the newspaper article,modal,Not_In_Example,Not_In_Example,positive,0,cleft_existence,1871e,98,It might be the guest who has predicted Dawn to scan the newspaper article. Someone has predicted Dawn to scan the newspaper article,tensor(-9.5980),tensor(-9.3632),tensor(-9.9698),1,tensor(-9.6826),tensor(-9.1320),tensor(-9.9852),1
4,It might be Carlos who helps Rebecca.,It is Carlos who helps Rebecca.,Not_In_Example,modal,unembedded,Not_In_Example,1,cleft_existence,568n,29,It might be Carlos who helps Rebecca. It is Carlos who helps Rebecca.,tensor(-11.6471),tensor(-10.7288),tensor(-11.0825),1,tensor(-11.8895),tensor(-10.0057),tensor(-10.1631),1
5,It is Aaron that did hate Andrew.,No one did hate Andrew,unembedded,Not_In_Example,Not_In_Example,negated,2,cleft_existence,1084c,57,It is Aaron that did hate Andrew. No one did hate Andrew,tensor(-11.8247),tensor(-9.9030),tensor(-9.9535),1,tensor(-11.4153),tensor(-8.9383),tensor(-10.0152),1
6,It might be Suzanne who has dropped by the rivers.,No one has dropped by the rivers,modal,Not_In_Example,Not_In_Example,negated,2,cleft_existence,637c,33,It might be Suzanne who has dropped by the rivers. No one has dropped by the rivers,tensor(-11.0045),tensor(-10.3981),tensor(-10.9062),1,tensor(-10.0450),tensor(-9.0387),tensor(-9.7607),1
7,"If it is Beverly that had said Pamela likes that ice cream, it's okay",It is Beverly that had said Pamela likes that ice cream.,Not_In_Example,conditional,unembedded,Not_In_Example,1,cleft_existence,1291n,67,"If it is Beverly that had said Pamela likes that ice cream, it's okay It is Beverly that had said Pamela likes that ice cream.",tensor(-8.0020),tensor(-7.3553),tensor(-7.9727),1,tensor(-8.6972),tensor(-7.4052),tensor(-8.6800),1
8,"If it is Anna who was finding out who would play, it's okay",It is Anna who was finding out who would play.,Not_In_Example,conditional,unembedded,Not_In_Example,1,cleft_existence,1652n,86,"If it is Anna who was finding out who would play, it's okay It is Anna who was finding out who would play.",tensor(-8.2765),tensor(-7.4225),tensor(-7.9978),1,tensor(-8.8283),tensor(-7.2143),tensor(-8.5002),1
9,"If it is Andrea that proposes to talk to Tamara, it's okay",It is Andrea that proposes to talk to Tamara.,Not_In_Example,conditional,unembedded,Not_In_Example,1,cleft_existence,930n,48,"If it is Andrea that proposes to talk to Tamara, it's okay It is Andrea that proposes to talk to Tamara.",tensor(-8.2860),tensor(-7.1912),tensor(-8.1206),1,tensor(-9.4879),tensor(-7.4547),tensor(-9.1154),1
10,It might be Karla that does turn out to condense.,It is Karla that does turn out to condense.,Not_In_Example,modal,unembedded,Not_In_Example,1,cleft_existence,492n,25,It might be Karla that does turn out to condense. It is Karla that does turn out to condense.,tensor(-10.7381),tensor(-10.0708),tensor(-10.6218),1,tensor(-10.9647),tensor(-10.1170),tensor(-10.6040),1
11,It isn't Renee who loves Sara.,It is Renee who loves Sara.,Not_In_Example,negated,unembedded,Not_In_Example,2,cleft_existence,243c,12,It isn't Renee who loves Sara. It is Renee who loves Sara.,tensor(-11.2853),tensor(-9.2209),tensor(-9.6074),1,tensor(-11.9565),tensor(-9.7020),tensor(-10.1499),1
12,"If it is Regina that has talked about Scott, it's okay",No one has talked about Scott,conditional,Not_In_Example,Not_In_Example,negated,2,cleft_existence,1685c,88,"If it is Regina that has talked about Scott, it's okay No one has talked about Scott",tensor(-11.0354),tensor(-10.4531),tensor(-10.7259),1,tensor(-11.7325),tensor(-10.0295),tensor(-11.2941),1
13,It is Becky who researched Jesus.,No one researched Jesus,unembedded,Not_In_Example,Not_In_Example,negated,2,cleft_existence,1388c,73,It is Becky who researched Jesus. No one researched Jesus,tensor(-11.0862),tensor(-9.4541),tensor(-9.4793),1,tensor(-11.9435),tensor(-9.6943),tensor(-10.6209),1
14,Is it Dan who was hoping to move?,No one was hoping to move,interrogative,Not_In_Example,Not_In_Example,negated,2,cleft_existence,786c,41,Is it Dan who was hoping to move? No one was hoping to move,tensor(-10.1616),tensor(-9.6921),tensor(-10.6526),1,tensor(-10.1556),tensor(-8.8620),tensor(-10.0622),1
15,Is it Monet that is looking to salute?,Someone is looking to salute,interrogative,Not_In_Example,Not_In_Example,positive,0,cleft_existence,861e,45,Is it Monet that is looking to salute? Someone is looking to salute,tensor(-10.9791),tensor(-10.2548),tensor(-10.8150),1,tensor(-10.4400),tensor(-9.4509),tensor(-10.2318),1
16,It isn't Natalie that is needing Meredith to investigate Katherine.,Someone was needing the sweater to unfold,negated,Not_In_Example,Not_In_Example,neutral,1,cleft_existence,347n,18,It isn't Natalie that is needing Meredith to investigate Katherine. Someone was needing the sweater to unfold,tensor(-11.4232),tensor(-11.1918),tensor(-12.2516),1,tensor(-10.6621),tensor(-10.1350),tensor(-12.2774),1
